투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,10220,10590,370,20240220,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240220,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240220,098120,마이크로컨텍솔
사모,188,0,-188,1951440,0,-1951440,20240220,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240220,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240220,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240220,098120,마이크로컨텍솔
기관합계,189,1,-188,1961660,10590,-1951070,20240220,098120,마이크로컨텍솔
기타법인,4915,100,-4815,50897480,1038000,-49859480,20240220,098120,마이크로컨텍솔
개인,137709,126993,-10716,1428724750,1316553570,-112171180,20240220,098120,마이크로컨텍솔
외국인,38672,54258,15586,403103120,565677120,162574000,20240220,098120,마이크로컨텍솔
기타외국인,60,193,133,616800,2024530,1407730,20240220,098120,마이크로컨텍솔
전체,181545,181545,0,1885303810,1885303810,0,20240220,098120,마이크로컨텍솔
금융투자,11393,645,-10748,285747550,16174600,-269572950,20240220,009520,포스코엠텍
보험,0,0,0,0,0,0,20240220,009520,포스코엠텍
투신,479,0,-479,12161100,0,-12161100,20240220,009520,포스코엠텍
사모,0,1,1,0,24950,24950,20240220,009520,포스코엠텍
은행,0,0,0,0,0,0,20240220,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240220,009520,포스코엠텍
연기금 등,1440,1344,-96,36463200,34089600,-2373600,20240220,009520,포스코엠텍
기관합계,13312,1990,-11322,334371850,50289150,-284082700,20240220,009520,포스코엠텍
기타법인,1232,379,-853,31077100,9511650,-21565450,20240220,009520,포스코엠텍
개인,252170,235817,-16353,6349059150,5935658950,-413400200,20240220,009520,포스코엠텍
외국인,60652,89162,28510,1529875700,2248387000,718511300,20240220,009520,포스코엠텍
기타외국인,450,468,18,11298650,11835700,537050,20240220,009520,포스코엠텍
전체,327816,327816,0,8255682450,8255682450,0,20240220,009520,포스코엠텍
금융투자,5634,5665,31,27629035,27835585,206550,20240220,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240220,095570,AJ네트웍스
투신,5,47,42,24425,229595,205170,20240220,095570,AJ네트웍스
사모,0,0,0,0,0,0,20240220,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240220,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240220,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240220,095570,AJ네트웍스
기관합계,5639,5712,73,27653460,28065180,411720,20240220,095570,AJ네트웍스
기타법인,500,1000,500,2440000,4885000,2445000,20240220,095570,AJ네트웍스
개인,39005,72515,33510,191050880,355267500,164216620,20240220,095570,AJ네트웍스
외국인,34808,725,-34083,170614000,3540660,-167073340,20240220,095570,AJ네트웍스
기타외국인,0,0,0,0,0,0,20240220,095570,AJ네트웍스
전체,79952,79952,0,391758340,391758340,0,20240220,095570,AJ네트웍스
금융투자,4068,3944,-124,70760730,69117810,-1642920,20240220,006840,AK홀딩스
보험,0,0,0,0,0,0,20240220,006840,AK홀딩스
투신,2,0,-2,34740,0,-34740,20240220,006840,AK홀딩스
사모,0,0,0,0,0,0,20240220,006840,AK홀딩스
은행,0,0,0,0,0,0,20240220,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240220,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240220,006840,AK홀딩스
기관합계,4070,3944,-126,70795470,69117810,-1677660,20240220,006840,AK홀딩스
기타법인,427,410,-17,7485380,7097250,-388130,20240220,006840,AK홀딩스
개인,6187,12247,6060,108183790,213268680,105084890,20240220,006840,AK홀딩스
외국인,7305,1369,-5936,127441170,24091980,-103349190,20240220,006840,AK홀딩스
기타외국인,0,19,19,0,330090,330090,20240220,006840,AK홀딩스
