투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,12460,12200,-260,20240124,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240124,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240124,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240124,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240124,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240124,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240124,098120,마이크로컨텍솔
기관합계,1,1,0,12460,12200,-260,20240124,098120,마이크로컨텍솔
기타법인,0,0,0,0,0,0,20240124,098120,마이크로컨텍솔
개인,95701,91773,-3928,1187958740,1139022610,-48936130,20240124,098120,마이크로컨텍솔
외국인,24596,39300,14704,305478130,488172060,182693930,20240124,098120,마이크로컨텍솔
기타외국인,10842,66,-10776,134583020,825480,-133757540,20240124,098120,마이크로컨텍솔
전체,131140,131140,0,1628032350,1628032350,0,20240124,098120,마이크로컨텍솔
금융투자,4693,5607,914,113674750,136388200,22713450,20240124,009520,포스코엠텍
보험,0,0,0,0,0,0,20240124,009520,포스코엠텍
투신,0,0,0,0,0,0,20240124,009520,포스코엠텍
사모,5,0,-5,121750,0,-121750,20240124,009520,포스코엠텍
은행,0,0,0,0,0,0,20240124,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240124,009520,포스코엠텍
연기금 등,2963,0,-2963,71804350,0,-71804350,20240124,009520,포스코엠텍
기관합계,7661,5607,-2054,185600850,136388200,-49212650,20240124,009520,포스코엠텍
기타법인,20331,11840,-8491,480312050,288093000,-192219050,20240124,009520,포스코엠텍
개인,609884,689875,79991,14816540600,16776954450,1960413850,20240124,009520,포스코엠텍
외국인,204514,133053,-71461,4980491000,3212042250,-1768448750,20240124,009520,포스코엠텍
기타외국인,440,2455,2015,10746600,60213200,49466600,20240124,009520,포스코엠텍
전체,842830,842830,0,20473691100,20473691100,0,20240124,009520,포스코엠텍
금융투자,22959,24343,1384,108441610,115389150,6947540,20240124,095570,AJ네트웍스
보험,13,0,-13,61770,0,-61770,20240124,095570,AJ네트웍스
투신,0,33000,33000,0,157400700,157400700,20240124,095570,AJ네트웍스
사모,9,9,0,42960,42885,-75,20240124,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240124,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240124,095570,AJ네트웍스
연기금 등,596,16869,16273,2833295,80265415,77432120,20240124,095570,AJ네트웍스
기관합계,23577,74221,50644,111379635,353098150,241718515,20240124,095570,AJ네트웍스
기타법인,0,221,221,0,1048645,1048645,20240124,095570,AJ네트웍스
개인,101337,172424,71087,482442065,818969375,336527310,20240124,095570,AJ네트웍스
외국인,160969,38952,-122017,765058490,185454820,-579603670,20240124,095570,AJ네트웍스
기타외국인,0,65,65,0,309200,309200,20240124,095570,AJ네트웍스
전체,285883,285883,0,1358880190,1358880190,0,20240124,095570,AJ네트웍스
금융투자,1146,899,-247,18611450,14634140,-3977310,20240124,006840,AK홀딩스
보험,0,0,0,0,0,0,20240124,006840,AK홀딩스
투신,0,0,0,0,0,0,20240124,006840,AK홀딩스
사모,0,0,0,0,0,0,20240124,006840,AK홀딩스
은행,0,0,0,0,0,0,20240124,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240124,006840,AK홀딩스
연기금 등,1151,0,-1151,18698650,0,-18698650,20240124,006840,AK홀딩스
기관합계,2297,899,-1398,37310100,14634140,-22675960,20240124,006840,AK홀딩스
기타법인,0,90,90,0,1459760,1459760,20240124,006840,AK홀딩스
개인,2146,3466,1320,34969670,56381580,21411910,20240124,006840,AK홀딩스
외국인,20,8,-12,325440,129730,-195710,20240124,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240124,006840,AK홀딩스
전체,4463,4463,0,72605210,72605210,0,20240124,006840,AK홀딩스
금융투자,1546,5186,3640,224082600,747806400,523723800,20240124,282330,BGF리테일
보험,5,50,45,716800,7188700,6471900,20240124,282330,BGF리테일
투신,6,4332,4326,861500,626837500,625976000,20240124,282330,BGF리테일
사모,4,378,374,574900,54641500,54066600,20240124,282330,BGF리테일
은행,0,0,0,0,0,0,20240124,282330,BGF리테일
기타금융,2,2,0,288600,292000,3400,20240124,282330,BGF리테일
연기금 등,701,4547,3846,101051300,658279000,557227700,20240124,282330,BGF리테일
기관합계,2264,14495,12231,327575700,2095045100,1767469400,20240124,282330,BGF리테일
기타법인,7,28,21,1011300,4042200,3030900,20240124,282330,BGF리테일
개인,5279,4963,-316,764692800,716499500,-48193300,20240124,282330,BGF리테일
외국인,30052,18112,-11940,4337306300,2614422500,-1722883800,20240124,282330,BGF리테일
기타외국인,0,4,4,0,576800,576800,20240124,282330,BGF리테일
전체,37602,37602,0,5430586100,5430586100,0,20240124,282330,BGF리테일
금융투자,1910,276,-1634,6849825,991345,-5858480,20240124,027410,BGF
보험,36,0,-36,129060,0,-129060,20240124,027410,BGF
투신,0,0,0,0,0,0,20240124,027410,BGF
사모,0,0,0,0,0,0,20240124,027410,BGF
은행,36,0,-36,129570,0,-129570,20240124,027410,BGF
기타금융,0,0,0,0,0,0,20240124,027410,BGF
연기금 등,608,0,-608,2179680,0,-2179680,20240124,027410,BGF
기관합계,2590,276,-2314,9288135,991345,-8296790,20240124,027410,BGF
기타법인,1,2,1,3590,7170,3580,20240124,027410,BGF
개인,15342,29464,14122,55126760,105879735,50752975,20240124,027410,BGF
외국인,11855,510,-11345,42632865,1836000,-40796865,20240124,027410,BGF
기타외국인,500,36,-464,1792500,129600,-1662900,20240124,027410,BGF
전체,30288,30288,0,108843850,108843850,0,20240124,027410,BGF
금융투자,181446,83178,-98268,1289853760,593189810,-696663950,20240124,138930,BNK금융지주
보험,334,188,-146,2383170,1343300,-1039870,20240124,138930,BNK금융지주
투신,182,21918,21736,1297170,156300010,155002840,20240124,138930,BNK금융지주
사모,2,6200,6198,14260,44243810,44229550,20240124,138930,BNK금융지주
은행,0,0,0,0,0,0,20240124,138930,BNK금융지주
기타금융,0,0,0,0,0,0,20240124,138930,BNK금융지주
연기금 등,11530,29294,17764,82093200,208846520,126753320,20240124,138930,BNK금융지주
기관합계,193494,140778,-52716,1375641560,1003923450,-371718110,20240124,138930,BNK금융지주
기타법인,11129,524,-10605,79322050,3712680,-75609370,20240124,138930,BNK금융지주
