투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,10880,10650,-230,20240206,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240206,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240206,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240206,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240206,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240206,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240206,098120,마이크로컨텍솔
기관합계,1,1,0,10880,10650,-230,20240206,098120,마이크로컨텍솔
기타법인,100,0,-100,1083000,0,-1083000,20240206,098120,마이크로컨텍솔
개인,65924,103133,37209,714295320,1117411940,403116620,20240206,098120,마이크로컨텍솔
외국인,89833,52834,-36999,971912590,571035140,-400877450,20240206,098120,마이크로컨텍솔
기타외국인,159,49,-110,1690530,534590,-1155940,20240206,098120,마이크로컨텍솔
전체,156017,156017,0,1688992320,1688992320,0,20240206,098120,마이크로컨텍솔
금융투자,15435,382,-15053,374625750,9079700,-365546050,20240206,009520,포스코엠텍
보험,0,0,0,0,0,0,20240206,009520,포스코엠텍
투신,0,0,0,0,0,0,20240206,009520,포스코엠텍
사모,0,898,898,0,21999200,21999200,20240206,009520,포스코엠텍
은행,0,0,0,0,0,0,20240206,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240206,009520,포스코엠텍
연기금 등,192,391,199,4550400,9434750,4884350,20240206,009520,포스코엠텍
기관합계,15627,1671,-13956,379176150,40513650,-338662500,20240206,009520,포스코엠텍
기타법인,2665,315,-2350,63750100,7690750,-56059350,20240206,009520,포스코엠텍
개인,446912,343501,-103411,10818097950,8313647750,-2504450200,20240206,009520,포스코엠텍
외국인,111950,231370,119420,2714285100,5606213400,2891928300,20240206,009520,포스코엠텍
기타외국인,524,821,297,12811400,20055150,7243750,20240206,009520,포스코엠텍
전체,577678,577678,0,13988120700,13988120700,0,20240206,009520,포스코엠텍
금융투자,11331,12084,753,53248490,56831760,3583270,20240206,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240206,095570,AJ네트웍스
투신,909,10000,9091,4272300,47292870,43020570,20240206,095570,AJ네트웍스
사모,1378,2257,879,6483105,10675610,4192505,20240206,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240206,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240206,095570,AJ네트웍스
연기금 등,2528,302,-2226,11882375,1426380,-10455995,20240206,095570,AJ네트웍스
기관합계,16146,24643,8497,75886270,116226620,40340350,20240206,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240206,095570,AJ네트웍스
개인,66610,37761,-28849,313582620,177228965,-136353655,20240206,095570,AJ네트웍스
외국인,15285,35639,20354,71840950,167863665,96022715,20240206,095570,AJ네트웍스
기타외국인,2,0,-2,9410,0,-9410,20240206,095570,AJ네트웍스
전체,98043,98043,0,461319250,461319250,0,20240206,095570,AJ네트웍스
금융투자,5476,2814,-2662,95972400,49241970,-46730430,20240206,006840,AK홀딩스
보험,0,0,0,0,0,0,20240206,006840,AK홀딩스
투신,0,0,0,0,0,0,20240206,006840,AK홀딩스
사모,0,0,0,0,0,0,20240206,006840,AK홀딩스
은행,0,0,0,0,0,0,20240206,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240206,006840,AK홀딩스
연기금 등,0,797,797,0,13935320,13935320,20240206,006840,AK홀딩스
기관합계,5476,3611,-1865,95972400,63177290,-32795110,20240206,006840,AK홀딩스
기타법인,2960,63,-2897,51927500,1095140,-50832360,20240206,006840,AK홀딩스
개인,22531,13236,-9295,393804950,232100990,-161703960,20240206,006840,AK홀딩스
외국인,1192,15355,14163,20851960,268038850,247186890,20240206,006840,AK홀딩스
기타외국인,106,0,-106,1855460,0,-1855460,20240206,006840,AK홀딩스
전체,32265,32265,0,564412270,564412270,0,20240206,006840,AK홀딩스
금융투자,2767,3774,1007,379080500,515890500,136810000,20240206,282330,BGF리테일
보험,1761,19,-1742,241087600,2594100,-238493500,20240206,282330,BGF리테일
투신,2936,43,-2893,401336100,5870700,-395465400,20240206,282330,BGF리테일
사모,106,1470,1364,14396900,201315000,186918100,20240206,282330,BGF리테일
은행,0,0,0,0,0,0,20240206,282330,BGF리테일
기타금융,3,2,-1,409600,273300,-136300,20240206,282330,BGF리테일
연기금 등,14619,1886,-12733,2002952300,258547900,-1744404400,20240206,282330,BGF리테일
기관합계,22192,7194,-14998,3039263000,984491500,-2054771500,20240206,282330,BGF리테일
기타법인,40,24,-16,5504000,3258700,-2245300,20240206,282330,BGF리테일
개인,5822,14278,8456,795194600,1946644900,1151450300,20240206,282330,BGF리테일
외국인,18286,24837,6551,2494719300,3399334700,904615400,20240206,282330,BGF리테일
기타외국인,0,7,7,0,951100,951100,20240206,282330,BGF리테일
전체,46340,46340,0,6334680900,6334680900,0,20240206,282330,BGF리테일
금융투자,54935,55401,466,221283615,223178070,1894455,20240206,027410,BGF
보험,0,0,0,0,0,0,20240206,027410,BGF
투신,1902,10,-1892,7610695,39750,-7570945,20240206,027410,BGF
사모,4336,484,-3852,17346080,1951990,-15394090,20240206,027410,BGF
은행,285,0,-285,1153965,0,-1153965,20240206,027410,BGF
기타금융,0,0,0,0,0,0,20240206,027410,BGF
연기금 등,0,18774,18774,0,75827605,75827605,20240206,027410,BGF
기관합계,61458,74669,13211,247394355,300997415,53603060,20240206,027410,BGF
기타법인,1989,100,-1889,8019965,404000,-7615965,20240206,027410,BGF
개인,271080,201799,-69281,1090750975,812672455,-278078520,20240206,027410,BGF
외국인,74859,132728,57869,302041760,533776285,231734525,20240206,027410,BGF
기타외국인,0,90,90,0,356900,356900,20240206,027410,BGF
전체,409386,409386,0,1648207055,1648207055,0,20240206,027410,BGF
금융투자,77938,89720,11782,587349170,675130230,87781060,20240206,138930,BNK금융지주
보험,88118,116,-88002,664375010,868840,-663506170,20240206,138930,BNK금융지주
투신,69470,15691,-53779,524964220,117679800,-407284420,20240206,138930,BNK금융지주
사모,48155,8258,-39897,362128110,62153290,-299974820,20240206,138930,BNK금융지주
은행,0,0,0,0,0,0,20240206,138930,BNK금융지주
기타금융,0,4001,4001,0,30507590,30507590,20240206,138930,BNK금융지주
연기금 등,130787,121389,-9398,988262990,916471910,-71791080,20240206,138930,BNK금융지주
기관합계,414468,239175,-175293,3127079500,1802811660,-1324267840,20240206,138930,BNK금융지주
기타법인,19663,20670,1007,150764210,155189080,4424870,20240206,138930,BNK금융지주
개인,1379713,1168010,-211703,10423187930,8820463220,-1602724710,20240206,138930,BNK금융지주
외국인,532917,913924,381007,4022184470,6907041430,2884856960,20240206,138930,BNK금융지주
기타외국인,40,5022,4982,302400,38013120,37710720,20240206,138930,BNK금융지주
전체,2346801,2346801,0,17723518510,17723518510,0,20240206,138930,BNK금융지주
금융투자,0,0,0,0,0,0,20240206,001465,BYC우
보험,0,0,0,0,0,0,20240206,001465,BYC우
투신,0,0,0,0,0,0,20240206,001465,BYC우
사모,0,0,0,0,0,0,20240206,001465,BYC우
은행,0,0,0,0,0,0,20240206,001465,BYC우
기타금융,0,0,0,0,0,0,20240206,001465,BYC우
연기금 등,0,0,0,0,0,0,20240206,001465,BYC우
기관합계,0,0,0,0,0,0,20240206,001465,BYC우
기타법인,0,0,0,0,0,0,20240206,001465,BYC우
개인,188,188,0,27274100,27274100,0,20240206,001465,BYC우
외국인,0,0,0,0,0,0,20240206,001465,BYC우
기타외국인,0,0,0,0,0,0,20240206,001465,BYC우
전체,188,188,0,27274100,27274100,0,20240206,001465,BYC우
금융투자,195,3,-192,81610500,1306500,-80304000,20240206,001460,BYC
보험,0,0,0,0,0,0,20240206,001460,BYC
투신,381,0,-381,159307500,0,-159307500,20240206,001460,BYC
사모,0,0,0,0,0,0,20240206,001460,BYC
은행,0,0,0,0,0,0,20240206,001460,BYC
기타금융,0,0,0,0,0,0,20240206,001460,BYC
연기금 등,0,232,232,0,97279000,97279000,20240206,001460,BYC
기관합계,576,235,-341,240918000,98585500,-142332500,20240206,001460,BYC
기타법인,3,0,-3,1268000,0,-1268000,20240206,001460,BYC
개인,299,643,344,125431500,269053000,143621500,20240206,001460,BYC
외국인,1,1,0,431000,410000,-21000,20240206,001460,BYC
기타외국인,0,0,0,0,0,0,20240206,001460,BYC
전체,879,879,0,368048500,368048500,0,20240206,001460,BYC
금융투자,43,43,0,2236000,2231700,-4300,20240206,001045,CJ우
보험,0,0,0,0,0,0,20240206,001045,CJ우
투신,0,0,0,0,0,0,20240206,001045,CJ우
사모,0,0,0,0,0,0,20240206,001045,CJ우
은행,0,0,0,0,0,0,20240206,001045,CJ우
기타금융,0,0,0,0,0,0,20240206,001045,CJ우
연기금 등,0,0,0,0,0,0,20240206,001045,CJ우
기관합계,43,43,0,2236000,2231700,-4300,20240206,001045,CJ우
기타법인,105,691,586,5499400,36267200,30767800,20240206,001045,CJ우
개인,948,320,-628,49692000,16732100,-32959900,20240206,001045,CJ우
외국인,4,46,42,210100,2406500,2196400,20240206,001045,CJ우
기타외국인,0,0,0,0,0,0,20240206,001045,CJ우
전체,1100,1100,0,57637500,57637500,0,20240206,001045,CJ우
금융투자,1176,1590,414,89177800,120784000,31606200,20240206,00104K,CJ4우(전환)
보험,0,0,0,0,0,0,20240206,00104K,CJ4우(전환)
투신,0,261,261,0,19898700,19898700,20240206,00104K,CJ4우(전환)
사모,0,945,945,0,72035800,72035800,20240206,00104K,CJ4우(전환)
은행,0,0,0,0,0,0,20240206,00104K,CJ4우(전환)
기타금융,0,0,0,0,0,0,20240206,00104K,CJ4우(전환)
연기금 등,0,0,0,0,0,0,20240206,00104K,CJ4우(전환)
기관합계,1176,2796,1620,89177800,212718500,123540700,20240206,00104K,CJ4우(전환)
기타법인,0,976,976,0,73986700,73986700,20240206,00104K,CJ4우(전환)
개인,3979,2128,-1851,302783300,161799400,-140983900,20240206,00104K,CJ4우(전환)
외국인,1248,503,-745,94840400,38296900,-56543500,20240206,00104K,CJ4우(전환)
기타외국인,0,0,0,0,0,0,20240206,00104K,CJ4우(전환)
전체,6403,6403,0,486801500,486801500,0,20240206,00104K,CJ4우(전환)
금융투자,10933,6707,-4226,1106006100,670117200,-435888900,20240206,001040,CJ
보험,778,4808,4030,76946500,480384900,403438400,20240206,001040,CJ
투신,8767,15479,6712,871531300,1560990600,689459300,20240206,001040,CJ
사모,3805,5161,1356,381620600,517227500,135606900,20240206,001040,CJ
은행,0,0,0,0,0,0,20240206,001040,CJ
기타금융,20,0,-20,1994700,0,-1994700,20240206,001040,CJ
연기금 등,10111,16537,6426,1009270500,1680514800,671244300,20240206,001040,CJ
기관합계,34414,48692,14278,3447369700,4909235000,1461865300,20240206,001040,CJ
기타법인,3151,1231,-1920,320973300,123828300,-197145000,20240206,001040,CJ
개인,36777,27159,-9618,3697394500,2725013300,-972381200,20240206,001040,CJ
외국인,28337,25617,-2720,2854229000,2563905900,-290323100,20240206,001040,CJ
기타외국인,57,37,-20,5724400,3708400,-2016000,20240206,001040,CJ
전체,102736,102736,0,10325690900,10325690900,0,20240206,001040,CJ
금융투자,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
보험,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
투신,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
사모,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
은행,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
기타금융,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
연기금 등,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
기관합계,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
기타법인,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
개인,46,46,0,937150,937150,0,20240206,011155,CJ씨푸드1우
외국인,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
기타외국인,0,0,0,0,0,0,20240206,011155,CJ씨푸드1우
전체,46,46,0,937150,937150,0,20240206,011155,CJ씨푸드1우
금융투자,17,13,-4,49215,37650,-11565,20240206,011150,CJ씨푸드
보험,0,0,0,0,0,0,20240206,011150,CJ씨푸드
투신,0,0,0,0,0,0,20240206,011150,CJ씨푸드
사모,0,0,0,0,0,0,20240206,011150,CJ씨푸드
은행,0,0,0,0,0,0,20240206,011150,CJ씨푸드
기타금융,0,0,0,0,0,0,20240206,011150,CJ씨푸드
연기금 등,3846,0,-3846,11056765,0,-11056765,20240206,011150,CJ씨푸드
기관합계,3863,13,-3850,11105980,37650,-11068330,20240206,011150,CJ씨푸드
기타법인,1000,0,-1000,2865000,0,-2865000,20240206,011150,CJ씨푸드
개인,103816,103859,43,298467025,298560470,93445,20240206,011150,CJ씨푸드
외국인,20603,27010,6407,59346580,77744465,18397885,20240206,011150,CJ씨푸드
기타외국인,2100,500,-1600,5995500,1437500,-4558000,20240206,011150,CJ씨푸드
전체,131382,131382,0,377780085,377780085,0,20240206,011150,CJ씨푸드
금융투자,1078,1075,-3,2420155,2402625,-17530,20240206,058820,CMG제약
보험,0,0,0,0,0,0,20240206,058820,CMG제약
투신,0,0,0,0,0,0,20240206,058820,CMG제약
사모,0,0,0,0,0,0,20240206,058820,CMG제약
은행,0,0,0,0,0,0,20240206,058820,CMG제약
기타금융,0,0,0,0,0,0,20240206,058820,CMG제약
연기금 등,0,0,0,0,0,0,20240206,058820,CMG제약
기관합계,1078,1075,-3,2420155,2402625,-17530,20240206,058820,CMG제약
기타법인,0,0,0,0,0,0,20240206,058820,CMG제약
개인,151180,139686,-11494,341006135,315134980,-25871155,20240206,058820,CMG제약
외국인,16941,28433,11492,38087320,63964730,25877410,20240206,058820,CMG제약
기타외국인,0,5,5,0,11275,11275,20240206,058820,CMG제약
전체,169199,169199,0,381513610,381513610,0,20240206,058820,CMG제약
금융투자,46,562,516,3056400,37100800,34044400,20240206,000590,CS홀딩스
보험,0,0,0,0,0,0,20240206,000590,CS홀딩스
투신,0,0,0,0,0,0,20240206,000590,CS홀딩스
사모,25,0,-25,1641100,0,-1641100,20240206,000590,CS홀딩스
은행,0,0,0,0,0,0,20240206,000590,CS홀딩스
기타금융,0,0,0,0,0,0,20240206,000590,CS홀딩스
연기금 등,0,0,0,0,0,0,20240206,000590,CS홀딩스
기관합계,71,562,491,4697500,37100800,32403300,20240206,000590,CS홀딩스
기타법인,80,2,-78,5286600,130200,-5156400,20240206,000590,CS홀딩스
개인,1049,982,-67,69039800,64535300,-4504500,20240206,000590,CS홀딩스
외국인,360,11,-349,23665500,725800,-22939700,20240206,000590,CS홀딩스
기타외국인,0,3,3,0,197300,197300,20240206,000590,CS홀딩스
전체,1560,1560,0,102689400,102689400,0,20240206,000590,CS홀딩스
금융투자,40,4,-36,64894,6548,-58346,20240206,012030,DB
보험,0,0,0,0,0,0,20240206,012030,DB
투신,0,22,22,0,35684,35684,20240206,012030,DB
사모,0,1904,1904,0,3107963,3107963,20240206,012030,DB
은행,0,0,0,0,0,0,20240206,012030,DB
기타금융,0,0,0,0,0,0,20240206,012030,DB
연기금 등,0,6668,6668,0,10876075,10876075,20240206,012030,DB
기관합계,40,8598,8558,64894,14026270,13961376,20240206,012030,DB
기타법인,1263,0,-1263,2057048,0,-2057048,20240206,012030,DB
개인,388283,513817,125534,634303098,839586556,205283458,20240206,012030,DB
외국인,193329,60468,-132861,316432578,99190714,-217241864,20240206,012030,DB
기타외국인,30,62,32,48780,102858,54078,20240206,012030,DB
전체,582945,582945,0,952906398,952906398,0,20240206,012030,DB
금융투자,15493,9794,-5699,1555720900,975669700,-580051200,20240206,005830,DB손해보험
보험,3864,7528,3664,381921600,759305100,377383500,20240206,005830,DB손해보험
투신,9843,2292,-7551,976428600,231109200,-745319400,20240206,005830,DB손해보험
사모,7037,2151,-4886,703348500,214183400,-489165100,20240206,005830,DB손해보험
은행,9355,307,-9048,940980400,30673900,-910306500,20240206,005830,DB손해보험
기타금융,13,1051,1038,1295400,103537600,102242200,20240206,005830,DB손해보험
연기금 등,25103,16063,-9040,2506824000,1606185500,-900638500,20240206,005830,DB손해보험
기관합계,70708,39186,-31522,7066519400,3920664400,-3145855000,20240206,005830,DB손해보험
기타법인,751,544,-207,73996700,54586700,-19410000,20240206,005830,DB손해보험
개인,35496,21848,-13648,3561716200,2193486100,-1368230100,20240206,005830,DB손해보험
외국인,62311,107691,45380,6226906500,10760703000,4533796500,20240206,005830,DB손해보험
기타외국인,3,0,-3,301400,0,-301400,20240206,005830,DB손해보험
전체,169269,169269,0,16929440200,16929440200,0,20240206,005830,DB손해보험
금융투자,5757,4651,-1106,24148885,19525210,-4623675,20240206,016610,DB증권
보험,0,0,0,0,0,0,20240206,016610,DB증권
투신,0,0,0,0,0,0,20240206,016610,DB증권
사모,0,959,959,0,4030120,4030120,20240206,016610,DB증권
은행,0,0,0,0,0,0,20240206,016610,DB증권
기타금융,0,0,0,0,0,0,20240206,016610,DB증권
연기금 등,0,788,788,0,3308255,3308255,20240206,016610,DB증권
기관합계,5757,6398,641,24148885,26863585,2714700,20240206,016610,DB증권
기타법인,2,5000,4998,8405,20949900,20941495,20240206,016610,DB증권
개인,51465,55366,3901,215730855,232074480,16343625,20240206,016610,DB증권
외국인,10746,1223,-9523,45060975,5132470,-39928505,20240206,016610,DB증권
기타외국인,17,0,-17,71315,0,-71315,20240206,016610,DB증권
전체,67987,67987,0,285020435,285020435,0,20240206,016610,DB증권
