투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,11450,11220,-230,20240215,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240215,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240215,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240215,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240215,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240215,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240215,098120,마이크로컨텍솔
기관합계,1,1,0,11450,11220,-230,20240215,098120,마이크로컨텍솔
기타법인,8457,215,-8242,94803490,2432730,-92370760,20240215,098120,마이크로컨텍솔
개인,121141,129123,7982,1373435810,1460552300,87116490,20240215,098120,마이크로컨텍솔
외국인,50058,50267,209,567458540,572139550,4681010,20240215,098120,마이크로컨텍솔
기타외국인,0,51,51,0,573490,573490,20240215,098120,마이크로컨텍솔
전체,179657,179657,0,2035709290,2035709290,0,20240215,098120,마이크로컨텍솔
금융투자,10211,2188,-8023,259334700,55478250,-203856450,20240215,009520,포스코엠텍
보험,11,0,-11,281600,0,-281600,20240215,009520,포스코엠텍
투신,0,0,0,0,0,0,20240215,009520,포스코엠텍
사모,1610,0,-1610,41282400,0,-41282400,20240215,009520,포스코엠텍
은행,0,0,0,0,0,0,20240215,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240215,009520,포스코엠텍
연기금 등,240,240,0,6144000,6144000,0,20240215,009520,포스코엠텍
기관합계,12072,2428,-9644,307042700,61622250,-245420450,20240215,009520,포스코엠텍
기타법인,5973,2259,-3714,151990050,57990950,-93999100,20240215,009520,포스코엠텍
개인,842721,806651,-36070,21508463950,20590935100,-917528850,20240215,009520,포스코엠텍
외국인,199923,250828,50905,5090843250,6384228900,1293385650,20240215,009520,포스코엠텍
기타외국인,4015,2538,-1477,101322000,64884750,-36437250,20240215,009520,포스코엠텍
전체,1064704,1064704,0,27159661950,27159661950,0,20240215,009520,포스코엠텍
금융투자,27081,33494,6413,131515395,162661660,31146265,20240215,095570,AJ네트웍스
보험,18,0,-18,88630,0,-88630,20240215,095570,AJ네트웍스
투신,94,0,-94,460600,0,-460600,20240215,095570,AJ네트웍스
사모,0,0,0,0,0,0,20240215,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240215,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240215,095570,AJ네트웍스
연기금 등,30000,0,-30000,145117350,0,-145117350,20240215,095570,AJ네트웍스
기관합계,57193,33494,-23699,277181975,162661660,-114520315,20240215,095570,AJ네트웍스
기타법인,400,14179,13779,1960000,69184595,67224595,20240215,095570,AJ네트웍스
개인,171545,176248,4703,836647750,857246095,20598345,20240215,095570,AJ네트웍스
외국인,30673,35680,5007,148187655,173846450,25658795,20240215,095570,AJ네트웍스
기타외국인,200,410,210,962055,2000635,1038580,20240215,095570,AJ네트웍스
전체,260011,260011,0,1264939435,1264939435,0,20240215,095570,AJ네트웍스
금융투자,1608,1570,-38,27872330,27213220,-659110,20240215,006840,AK홀딩스
보험,0,0,0,0,0,0,20240215,006840,AK홀딩스
투신,1,0,-1,17300,0,-17300,20240215,006840,AK홀딩스
사모,0,0,0,0,0,0,20240215,006840,AK홀딩스
은행,0,0,0,0,0,0,20240215,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240215,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240215,006840,AK홀딩스
기관합계,1609,1570,-39,27889630,27213220,-676410,20240215,006840,AK홀딩스
기타법인,401,30,-371,6978360,519000,-6459360,20240215,006840,AK홀딩스
개인,7372,7854,482,127676340,136097040,8420700,20240215,006840,AK홀딩스
외국인,1745,1673,-72,30238370,28953440,-1284930,20240215,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240215,006840,AK홀딩스
전체,11127,11127,0,192782700,192782700,0,20240215,006840,AK홀딩스
금융투자,2281,2031,-250,302492600,270410100,-32082500,20240215,282330,BGF리테일
보험,55,2740,2685,7284500,364060200,356775700,20240215,282330,BGF리테일
투신,667,0,-667,88580600,0,-88580600,20240215,282330,BGF리테일
사모,1023,26,-997,135936200,3437200,-132499000,20240215,282330,BGF리테일
은행,0,0,0,0,0,0,20240215,282330,BGF리테일
기타금융,1,1,0,132500,133200,700,20240215,282330,BGF리테일
연기금 등,5393,1909,-3484,716271000,253489400,-462781600,20240215,282330,BGF리테일
기관합계,9420,6707,-2713,1250697400,891530100,-359167300,20240215,282330,BGF리테일
기타법인,0,51,51,0,6767900,6767900,20240215,282330,BGF리테일
개인,5415,18575,13160,719478100,2465223300,1745745200,20240215,282330,BGF리테일
외국인,22192,11692,-10500,2945505500,1551893700,-1393611800,20240215,282330,BGF리테일
기타외국인,0,2,2,0,266000,266000,20240215,282330,BGF리테일
전체,37027,37027,0,4915681000,4915681000,0,20240215,282330,BGF리테일
금융투자,15174,16931,1757,60914215,67895065,6980850,20240215,027410,BGF
보험,57,0,-57,228355,0,-228355,20240215,027410,BGF
투신,199,0,-199,792020,0,-792020,20240215,027410,BGF
사모,0,0,0,0,0,0,20240215,027410,BGF
은행,0,2970,2970,0,11937245,11937245,20240215,027410,BGF
