투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,0,0,0,0,0,0,20240118,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240118,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240118,098120,마이크로컨텍솔
사모,0,4401,4401,0,53366850,53366850,20240118,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240118,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240118,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240118,098120,마이크로컨텍솔
기관합계,0,4401,4401,0,53366850,53366850,20240118,098120,마이크로컨텍솔
기타법인,1000,123,-877,12200000,1499370,-10700630,20240118,098120,마이크로컨텍솔
개인,80979,77206,-3773,981669990,937226400,-44443590,20240118,098120,마이크로컨텍솔
외국인,44796,45116,320,542791500,545439090,2647590,20240118,098120,마이크로컨텍솔
기타외국인,194,123,-71,2360980,1490760,-870220,20240118,098120,마이크로컨텍솔
전체,126969,126969,0,1539022470,1539022470,0,20240118,098120,마이크로컨텍솔
금융투자,4798,5360,562,123999050,141299800,17300750,20240118,009520,포스코엠텍
보험,0,0,0,0,0,0,20240118,009520,포스코엠텍
투신,4,0,-4,103000,0,-103000,20240118,009520,포스코엠텍
사모,0,555,555,0,14404300,14404300,20240118,009520,포스코엠텍
은행,0,0,0,0,0,0,20240118,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240118,009520,포스코엠텍
연기금 등,0,0,0,0,0,0,20240118,009520,포스코엠텍
기관합계,4802,5915,1113,124102050,155704100,31602050,20240118,009520,포스코엠텍
기타법인,764,3017,2253,19952200,78206700,58254500,20240118,009520,포스코엠텍
개인,546590,512678,-33912,14255629200,13415826950,-839802250,20240118,009520,포스코엠텍
외국인,126665,157408,30743,3334606500,4089941350,755334850,20240118,009520,포스코엠텍
기타외국인,659,462,-197,17475400,12086250,-5389150,20240118,009520,포스코엠텍
전체,679480,679480,0,17751765350,17751765350,0,20240118,009520,포스코엠텍
금융투자,19586,21483,1897,91267490,100581430,9313940,20240118,095570,AJ네트웍스
보험,0,1483,1483,0,6925575,6925575,20240118,095570,AJ네트웍스
투신,59,7546,7487,274940,35333395,35058455,20240118,095570,AJ네트웍스
사모,0,10031,10031,0,46971835,46971835,20240118,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240118,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240118,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240118,095570,AJ네트웍스
기관합계,19645,40543,20898,91542430,189812235,98269805,20240118,095570,AJ네트웍스
기타법인,10000,0,-10000,46678520,0,-46678520,20240118,095570,AJ네트웍스
개인,28752,55415,26663,134209895,258564915,124355020,20240118,095570,AJ네트웍스
외국인,61224,23953,-37271,286214255,111626875,-174587380,20240118,095570,AJ네트웍스
기타외국인,300,10,-290,1405500,46575,-1358925,20240118,095570,AJ네트웍스
전체,119921,119921,0,560050600,560050600,0,20240118,095570,AJ네트웍스
금융투자,2086,2866,780,33947370,46732130,12784760,20240118,006840,AK홀딩스
보험,0,0,0,0,0,0,20240118,006840,AK홀딩스
투신,0,332,332,0,5369140,5369140,20240118,006840,AK홀딩스
사모,0,9,9,0,145440,145440,20240118,006840,AK홀딩스
은행,0,0,0,0,0,0,20240118,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240118,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240118,006840,AK홀딩스
기관합계,2086,3207,1121,33947370,52246710,18299340,20240118,006840,AK홀딩스
기타법인,0,32,32,0,527030,527030,20240118,006840,AK홀딩스
개인,8995,7832,-1163,147592150,128630590,-18961560,20240118,006840,AK홀딩스
외국인,455,550,95,7467980,9009920,1541940,20240118,006840,AK홀딩스
기타외국인,85,0,-85,1406750,0,-1406750,20240118,006840,AK홀딩스
전체,11621,11621,0,190414250,190414250,0,20240118,006840,AK홀딩스
금융투자,3211,6573,3362,455524900,934525900,479001000,20240118,282330,BGF리테일
보험,8,989,981,1132000,140228100,139096100,20240118,282330,BGF리테일
투신,13399,7068,-6331,1904898700,1007636300,-897262400,20240118,282330,BGF리테일
사모,7724,2119,-5605,1100701900,303439500,-797262400,20240118,282330,BGF리테일
은행,0,0,0,0,0,0,20240118,282330,BGF리테일
기타금융,1,1,0,143200,142600,-600,20240118,282330,BGF리테일
연기금 등,6839,4757,-2082,970977900,676547200,-294430700,20240118,282330,BGF리테일
기관합계,31182,21507,-9675,4433378600,3062519600,-1370859000,20240118,282330,BGF리테일
기타법인,353,8,-345,50195200,1126400,-49068800,20240118,282330,BGF리테일
개인,11481,11003,-478,1636675800,1563330900,-73344900,20240118,282330,BGF리테일
외국인,29750,40308,10558,4220438700,5722493500,1502054800,20240118,282330,BGF리테일
기타외국인,149,89,-60,21367800,12585700,-8782100,20240118,282330,BGF리테일
전체,72915,72915,0,10362056100,10362056100,0,20240118,282330,BGF리테일
금융투자,21750,21651,-99,78379095,78128240,-250855,20240118,027410,BGF
보험,0,0,0,0,0,0,20240118,027410,BGF
투신,0,0,0,0,0,0,20240118,027410,BGF
사모,0,63,63,0,227115,227115,20240118,027410,BGF
은행,89,0,-89,320670,0,-320670,20240118,027410,BGF
기타금융,0,0,0,0,0,0,20240118,027410,BGF
연기금 등,0,0,0,0,0,0,20240118,027410,BGF
기관합계,21839,21714,-125,78699765,78355355,-344410,20240118,027410,BGF
기타법인,0,2782,2782,0,10015200,10015200,20240118,027410,BGF
개인,58947,57209,-1738,212182185,205939815,-6242370,20240118,027410,BGF
외국인,10229,9259,-970,36933140,33321870,-3611270,20240118,027410,BGF
기타외국인,0,51,51,0,182850,182850,20240118,027410,BGF
전체,91015,91015,0,327815090,327815090,0,20240118,027410,BGF
금융투자,44958,80841,35883,311011230,558108700,247097470,20240118,138930,BNK금융지주
보험,1185,0,-1185,8168160,0,-8168160,20240118,138930,BNK금융지주
투신,869,1662,793,6013480,11479670,5466190,20240118,138930,BNK금융지주
사모,403,4321,3918,2788760,29853410,27064650,20240118,138930,BNK금융지주
은행,206,0,-206,1423910,0,-1423910,20240118,138930,BNK금융지주
기타금융,1,1,0,6890,6900,10,20240118,138930,BNK금융지주
연기금 등,8888,31945,23057,61420270,220614140,159193870,20240118,138930,BNK금융지주
기관합계,56510,118770,62260,390832700,820062820,429230120,20240118,138930,BNK금융지주
기타법인,3000,3132,132,20740000,21621980,881980,20240118,138930,BNK금융지주
개인,97819,402312,304493,676271310,2777983740,2101712430,20240118,138930,BNK금융지주
외국인,897725,530271,-367454,6200673018,3664921268,-2535751750,20240118,138930,BNK금융지주
기타외국인,0,569,569,0,3927220,3927220,20240118,138930,BNK금융지주
전체,1055054,1055054,0,7288517028,7288517028,0,20240118,138930,BNK금융지주
금융투자,0,0,0,0,0,0,20240118,001465,BYC우
보험,0,0,0,0,0,0,20240118,001465,BYC우
투신,0,0,0,0,0,0,20240118,001465,BYC우
사모,0,0,0,0,0,0,20240118,001465,BYC우
은행,0,0,0,0,0,0,20240118,001465,BYC우
기타금융,0,0,0,0,0,0,20240118,001465,BYC우
연기금 등,0,0,0,0,0,0,20240118,001465,BYC우
기관합계,0,0,0,0,0,0,20240118,001465,BYC우
기타법인,0,0,0,0,0,0,20240118,001465,BYC우
개인,4,4,0,560800,560800,0,20240118,001465,BYC우
외국인,0,0,0,0,0,0,20240118,001465,BYC우
기타외국인,0,0,0,0,0,0,20240118,001465,BYC우
전체,4,4,0,560800,560800,0,20240118,001465,BYC우
금융투자,4,3,-1,1549000,1185000,-364000,20240118,001460,BYC
보험,0,0,0,0,0,0,20240118,001460,BYC
투신,0,0,0,0,0,0,20240118,001460,BYC
사모,0,0,0,0,0,0,20240118,001460,BYC
은행,0,0,0,0,0,0,20240118,001460,BYC
기타금융,0,0,0,0,0,0,20240118,001460,BYC
연기금 등,0,0,0,0,0,0,20240118,001460,BYC
기관합계,4,3,-1,1549000,1185000,-364000,20240118,001460,BYC
기타법인,0,0,0,0,0,0,20240118,001460,BYC
개인,97,98,1,38268000,38632000,364000,20240118,001460,BYC
외국인,0,0,0,0,0,0,20240118,001460,BYC
기타외국인,0,0,0,0,0,0,20240118,001460,BYC
전체,101,101,0,39817000,39817000,0,20240118,001460,BYC
금융투자,563,274,-289,27583800,13461800,-14122000,20240118,001045,CJ우
보험,0,0,0,0,0,0,20240118,001045,CJ우
투신,0,0,0,0,0,0,20240118,001045,CJ우
사모,0,0,0,0,0,0,20240118,001045,CJ우
은행,0,0,0,0,0,0,20240118,001045,CJ우
기타금융,0,0,0,0,0,0,20240118,001045,CJ우
연기금 등,38,0,-38,1861800,0,-1861800,20240118,001045,CJ우
기관합계,601,274,-327,29445600,13461800,-15983800,20240118,001045,CJ우
기타법인,0,840,840,0,41231600,41231600,20240118,001045,CJ우
개인,1258,745,-513,61702750,36454950,-25247800,20240118,001045,CJ우
외국인,0,0,0,0,0,0,20240118,001045,CJ우
기타외국인,0,0,0,0,0,0,20240118,001045,CJ우
전체,1859,1859,0,91148350,91148350,0,20240118,001045,CJ우
금융투자,12786,2091,-10695,850014100,139614300,-710399800,20240118,00104K,CJ4우(전환)
보험,0,0,0,0,0,0,20240118,00104K,CJ4우(전환)
투신,0,772,772,0,51170300,51170300,20240118,00104K,CJ4우(전환)
사모,0,0,0,0,0,0,20240118,00104K,CJ4우(전환)
은행,0,0,0,0,0,0,20240118,00104K,CJ4우(전환)
기타금융,0,0,0,0,0,0,20240118,00104K,CJ4우(전환)
연기금 등,0,0,0,0,0,0,20240118,00104K,CJ4우(전환)
기관합계,12786,2863,-9923,850014100,190784600,-659229500,20240118,00104K,CJ4우(전환)
기타법인,122,250,128,8117000,16648000,8531000,20240118,00104K,CJ4우(전환)
개인,1066,11920,10854,71121000,791511000,720390000,20240118,00104K,CJ4우(전환)
외국인,2747,1688,-1059,182438300,112746800,-69691500,20240118,00104K,CJ4우(전환)
기타외국인,0,0,0,0,0,0,20240118,00104K,CJ4우(전환)
전체,16721,16721,0,1111690400,1111690400,0,20240118,00104K,CJ4우(전환)
금융투자,5408,5284,-124,467799800,458686800,-9113000,20240118,001040,CJ
보험,5342,8123,2781,460555600,702640600,242085000,20240118,001040,CJ
투신,6831,1954,-4877,589863400,170152900,-419710500,20240118,001040,CJ
사모,2761,1501,-1260,239455100,131308600,-108146500,20240118,001040,CJ
은행,0,249,249,0,21467900,21467900,20240118,001040,CJ
기타금융,2,391,389,173600,33769400,33595800,20240118,001040,CJ
연기금 등,13935,4203,-9732,1208942900,363844300,-845098600,20240118,001040,CJ
기관합계,34279,21705,-12574,2966790400,1881870500,-1084919900,20240118,001040,CJ
기타법인,12,1640,1628,1044400,143963000,142918600,20240118,001040,CJ
개인,33218,35253,2035,2883733600,3065775400,182041800,20240118,001040,CJ
외국인,25580,34528,8948,2224672800,2987841800,763169000,20240118,001040,CJ
기타외국인,46,9,-37,3988400,778900,-3209500,20240118,001040,CJ
전체,93135,93135,0,8080229600,8080229600,0,20240118,001040,CJ
금융투자,10,0,-10,213000,0,-213000,20240118,011155,CJ씨푸드1우
보험,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
투신,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
사모,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
은행,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
기타금융,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
연기금 등,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
기관합계,10,0,-10,213000,0,-213000,20240118,011155,CJ씨푸드1우
기타법인,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
개인,1162,1172,10,24840250,25053250,213000,20240118,011155,CJ씨푸드1우
외국인,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
기타외국인,0,0,0,0,0,0,20240118,011155,CJ씨푸드1우
전체,1172,1172,0,25053250,25053250,0,20240118,011155,CJ씨푸드1우
금융투자,0,36,36,0,103005,103005,20240118,011150,CJ씨푸드
보험,0,0,0,0,0,0,20240118,011150,CJ씨푸드
투신,0,0,0,0,0,0,20240118,011150,CJ씨푸드
사모,0,24,24,0,69360,69360,20240118,011150,CJ씨푸드
은행,0,0,0,0,0,0,20240118,011150,CJ씨푸드
기타금융,0,0,0,0,0,0,20240118,011150,CJ씨푸드
연기금 등,0,0,0,0,0,0,20240118,011150,CJ씨푸드
기관합계,0,60,60,0,172365,172365,20240118,011150,CJ씨푸드
기타법인,0,0,0,0,0,0,20240118,011150,CJ씨푸드
개인,165688,133132,-32556,478710985,384760175,-93950810,20240118,011150,CJ씨푸드
외국인,12907,45541,32634,37386720,131566540,94179820,20240118,011150,CJ씨푸드
기타외국인,138,0,-138,401375,0,-401375,20240118,011150,CJ씨푸드
전체,178733,178733,0,516499080,516499080,0,20240118,011150,CJ씨푸드
금융투자,6408,4597,-1811,14250750,10159400,-4091350,20240118,058820,CMG제약
보험,0,0,0,0,0,0,20240118,058820,CMG제약
투신,0,0,0,0,0,0,20240118,058820,CMG제약
사모,0,0,0,0,0,0,20240118,058820,CMG제약
은행,0,0,0,0,0,0,20240118,058820,CMG제약
기타금융,0,0,0,0,0,0,20240118,058820,CMG제약
연기금 등,0,0,0,0,0,0,20240118,058820,CMG제약
기관합계,6408,4597,-1811,14250750,10159400,-4091350,20240118,058820,CMG제약
기타법인,0,300,300,0,663000,663000,20240118,058820,CMG제약
개인,269581,221486,-48095,602334240,494492775,-107841465,20240118,058820,CMG제약
외국인,51154,100019,48865,114288450,223913265,109624815,20240118,058820,CMG제약
기타외국인,211,952,741,473695,2118695,1645000,20240118,058820,CMG제약
전체,327354,327354,0,731347135,731347135,0,20240118,058820,CMG제약
금융투자,1,201,200,62600,12602100,12539500,20240118,000590,CS홀딩스
보험,0,0,0,0,0,0,20240118,000590,CS홀딩스
투신,0,0,0,0,0,0,20240118,000590,CS홀딩스
사모,0,31,31,0,1943700,1943700,20240118,000590,CS홀딩스
은행,0,0,0,0,0,0,20240118,000590,CS홀딩스
기타금융,0,0,0,0,0,0,20240118,000590,CS홀딩스
연기금 등,0,0,0,0,0,0,20240118,000590,CS홀딩스
기관합계,1,232,231,62600,14545800,14483200,20240118,000590,CS홀딩스
기타법인,0,5,5,0,313400,313400,20240118,000590,CS홀딩스
개인,563,310,-253,35187700,19325500,-15862200,20240118,000590,CS홀딩스
외국인,0,17,17,0,1065600,1065600,20240118,000590,CS홀딩스
기타외국인,0,0,0,0,0,0,20240118,000590,CS홀딩스
전체,564,564,0,35250300,35250300,0,20240118,000590,CS홀딩스
금융투자,13,62,49,21112,100530,79418,20240118,012030,DB
보험,0,0,0,0,0,0,20240118,012030,DB
투신,0,0,0,0,0,0,20240118,012030,DB
사모,0,133,133,0,215726,215726,20240118,012030,DB
은행,0,0,0,0,0,0,20240118,012030,DB
기타금융,0,0,0,0,0,0,20240118,012030,DB
연기금 등,0,0,0,0,0,0,20240118,012030,DB
기관합계,13,195,182,21112,316256,295144,20240118,012030,DB
기타법인,1,0,-1,1608,0,-1608,20240118,012030,DB
개인,483985,301858,-182127,783615707,488056154,-295559553,20240118,012030,DB
외국인,56648,239301,182653,91454211,387869919,296415708,20240118,012030,DB
기타외국인,997,290,-707,1618131,468440,-1149691,20240118,012030,DB
전체,541644,541644,0,876710769,876710769,0,20240118,012030,DB
금융투자,9136,8993,-143,719940800,711389600,-8551200,20240118,005830,DB손해보험
보험,3325,212,-3113,262823500,16722000,-246101500,20240118,005830,DB손해보험
투신,5702,362,-5340,450468800,28563200,-421905600,20240118,005830,DB손해보험
사모,150,850,700,11814900,67200000,55385100,20240118,005830,DB손해보험
은행,0,5000,5000,0,396172800,396172800,20240118,005830,DB손해보험
기타금융,3,4,1,235800,316000,80200,20240118,005830,DB손해보험
연기금 등,6012,2521,-3491,476249600,199869800,-276379800,20240118,005830,DB손해보험
기관합계,24328,17942,-6386,1921533400,1420233400,-501300000,20240118,005830,DB손해보험
기타법인,0,62,62,0,4874200,4874200,20240118,005830,DB손해보험
개인,5432,16618,11186,429902700,1310693600,880790900,20240118,005830,DB손해보험
외국인,131203,126342,-4861,10375722800,9991440700,-384282100,20240118,005830,DB손해보험
기타외국인,5,4,-1,398000,315000,-83000,20240118,005830,DB손해보험
전체,160968,160968,0,12727556900,12727556900,0,20240118,005830,DB손해보험
금융투자,3807,3890,83,14321520,14634770,313250,20240118,016610,DB증권
보험,0,0,0,0,0,0,20240118,016610,DB증권
투신,0,0,0,0,0,0,20240118,016610,DB증권
사모,0,28,28,0,105280,105280,20240118,016610,DB증권
은행,0,0,0,0,0,0,20240118,016610,DB증권
기타금융,0,0,0,0,0,0,20240118,016610,DB증권
연기금 등,0,0,0,0,0,0,20240118,016610,DB증권
기관합계,3807,3918,111,14321520,14740050,418530,20240118,016610,DB증권
기타법인,0,7,7,0,26370,26370,20240118,016610,DB증권
개인,13669,15783,2114,51463155,59400185,7937030,20240118,016610,DB증권
외국인,3111,879,-2232,11691685,3309755,-8381930,20240118,016610,DB증권
기타외국인,0,0,0,0,0,0,20240118,016610,DB증권
전체,20587,20587,0,77476360,77476360,0,20240118,016610,DB증권
금융투자,10323,17008,6685,519903300,858076200,338172900,20240118,000990,DB하이텍
