투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,7,7,0,76410,76160,-250,20240201,098120,마이크로컨텍솔
보험,3653,0,-3653,39986140,0,-39986140,20240201,098120,마이크로컨텍솔
투신,29859,0,-29859,321989310,0,-321989310,20240201,098120,마이크로컨텍솔
사모,4,0,-4,43240,0,-43240,20240201,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240201,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240201,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240201,098120,마이크로컨텍솔
기관합계,33523,7,-33516,362095100,76160,-362018940,20240201,098120,마이크로컨텍솔
기타법인,136,636,500,1486030,7018820,5532790,20240201,098120,마이크로컨텍솔
개인,92462,88644,-3818,1008309500,968178090,-40131410,20240201,098120,마이크로컨텍솔
외국인,26829,63662,36833,295203610,691810350,396606740,20240201,098120,마이크로컨텍솔
기타외국인,0,1,1,0,10820,10820,20240201,098120,마이크로컨텍솔
전체,152950,152950,0,1667094240,1667094240,0,20240201,098120,마이크로컨텍솔
금융투자,788,31316,30528,18260800,730012050,711751250,20240201,009520,포스코엠텍
보험,0,0,0,0,0,0,20240201,009520,포스코엠텍
투신,0,360,360,0,8331750,8331750,20240201,009520,포스코엠텍
사모,402,0,-402,9345950,0,-9345950,20240201,009520,포스코엠텍
은행,0,0,0,0,0,0,20240201,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240201,009520,포스코엠텍
연기금 등,48,48,0,1118400,1103800,-14600,20240201,009520,포스코엠텍
기관합계,1238,31724,30486,28725150,739447600,710722450,20240201,009520,포스코엠텍
기타법인,0,6528,6528,0,153433300,153433300,20240201,009520,포스코엠텍
개인,330576,275691,-54885,7670010350,6397593300,-1272417050,20240201,009520,포스코엠텍
외국인,72840,89972,17132,1693353450,2084250350,390896900,20240201,009520,포스코엠텍
기타외국인,18,757,739,417000,17781400,17364400,20240201,009520,포스코엠텍
전체,404672,404672,0,9392505950,9392505950,0,20240201,009520,포스코엠텍
금융투자,25623,24862,-761,121784460,118080505,-3703955,20240201,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240201,095570,AJ네트웍스
투신,31000,6949,-24051,146691600,33265840,-113425760,20240201,095570,AJ네트웍스
사모,0,2271,2271,0,10804945,10804945,20240201,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240201,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240201,095570,AJ네트웍스
연기금 등,0,1438,1438,0,6887030,6887030,20240201,095570,AJ네트웍스
기관합계,56623,35520,-21103,268476060,169038320,-99437740,20240201,095570,AJ네트웍스
기타법인,0,2236,2236,0,10606900,10606900,20240201,095570,AJ네트웍스
개인,80355,69908,-10447,381956220,331978890,-49977330,20240201,095570,AJ네트웍스
외국인,21219,50503,29284,101159505,239824925,138665420,20240201,095570,AJ네트웍스
기타외국인,10,40,30,47450,190200,142750,20240201,095570,AJ네트웍스
전체,158207,158207,0,751639235,751639235,0,20240201,095570,AJ네트웍스
금융투자,5610,4094,-1516,94536170,69207720,-25328450,20240201,006840,AK홀딩스
보험,0,0,0,0,0,0,20240201,006840,AK홀딩스
투신,0,0,0,0,0,0,20240201,006840,AK홀딩스
사모,0,0,0,0,0,0,20240201,006840,AK홀딩스
은행,0,0,0,0,0,0,20240201,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240201,006840,AK홀딩스
연기금 등,0,421,421,0,7268150,7268150,20240201,006840,AK홀딩스
기관합계,5610,4515,-1095,94536170,76475870,-18060300,20240201,006840,AK홀딩스
기타법인,0,233,233,0,3993340,3993340,20240201,006840,AK홀딩스
개인,26012,26930,918,437157670,454553840,17396170,20240201,006840,AK홀딩스
외국인,6081,6168,87,104657250,103728910,-928340,20240201,006840,AK홀딩스
기타외국인,143,0,-143,2400870,0,-2400870,20240201,006840,AK홀딩스
전체,37846,37846,0,638751960,638751960,0,20240201,006840,AK홀딩스
금융투자,4412,4499,87,621290900,633864400,12573500,20240201,282330,BGF리테일
보험,2076,50,-2026,291773400,7025500,-284747900,20240201,282330,BGF리테일
투신,15388,123,-15265,2159056200,17321000,-2141735200,20240201,282330,BGF리테일
사모,17,444,427,2395700,62794000,60398300,20240201,282330,BGF리테일
은행,0,0,0,0,0,0,20240201,282330,BGF리테일
기타금융,523,1,-522,73885800,140900,-73744900,20240201,282330,BGF리테일
연기금 등,7284,610,-6674,1026024200,85764300,-940259900,20240201,282330,BGF리테일
