투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,2,1,10650,21360,10710,20240207,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240207,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240207,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240207,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240207,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240207,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240207,098120,마이크로컨텍솔
기관합계,1,2,1,10650,21360,10710,20240207,098120,마이크로컨텍솔
기타법인,0,0,0,0,0,0,20240207,098120,마이크로컨텍솔
개인,94163,52544,-41619,1005663570,561600190,-444063380,20240207,098120,마이크로컨텍솔
외국인,20894,62209,41315,223929550,664750540,440820990,20240207,098120,마이크로컨텍솔
기타외국인,0,303,303,0,3231680,3231680,20240207,098120,마이크로컨텍솔
전체,115058,115058,0,1229603770,1229603770,0,20240207,098120,마이크로컨텍솔
금융투자,10122,2258,-7864,249167700,56024200,-193143500,20240207,009520,포스코엠텍
보험,0,0,0,0,0,0,20240207,009520,포스코엠텍
투신,544,0,-544,13553150,0,-13553150,20240207,009520,포스코엠텍
사모,0,0,0,0,0,0,20240207,009520,포스코엠텍
은행,0,0,0,0,0,0,20240207,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240207,009520,포스코엠텍
연기금 등,960,960,0,23898450,23859400,-39050,20240207,009520,포스코엠텍
기관합계,11626,3218,-8408,286619300,79883600,-206735700,20240207,009520,포스코엠텍
기타법인,6111,432,-5679,150539850,10666750,-139873100,20240207,009520,포스코엠텍
개인,412523,467461,54938,10245075200,11617730900,1372655700,20240207,009520,포스코엠텍
외국인,123696,82762,-40934,3089280100,2060987400,-1028292700,20240207,009520,포스코엠텍
기타외국인,1070,1153,83,26578950,28824750,2245800,20240207,009520,포스코엠텍
전체,555026,555026,0,13798093400,13798093400,0,20240207,009520,포스코엠텍
금융투자,2373,1119,-1254,11178115,5264240,-5913875,20240207,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240207,095570,AJ네트웍스
투신,0,10000,10000,0,47194000,47194000,20240207,095570,AJ네트웍스
사모,11180,67,-11113,52730000,316935,-52413065,20240207,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240207,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240207,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240207,095570,AJ네트웍스
기관합계,13553,11186,-2367,63908115,52775175,-11132940,20240207,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240207,095570,AJ네트웍스
개인,58624,49597,-9027,277091285,234361870,-42729415,20240207,095570,AJ네트웍스
외국인,7841,19237,11396,36855685,90727480,53871795,20240207,095570,AJ네트웍스
기타외국인,2,0,-2,9440,0,-9440,20240207,095570,AJ네트웍스
전체,80020,80020,0,377864525,377864525,0,20240207,095570,AJ네트웍스
금융투자,3042,1892,-1150,54005850,33607540,-20398310,20240207,006840,AK홀딩스
보험,0,0,0,0,0,0,20240207,006840,AK홀딩스
투신,0,0,0,0,0,0,20240207,006840,AK홀딩스
사모,0,9,9,0,159660,159660,20240207,006840,AK홀딩스
은행,0,0,0,0,0,0,20240207,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240207,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240207,006840,AK홀딩스
기관합계,3042,1901,-1141,54005850,33767200,-20238650,20240207,006840,AK홀딩스
기타법인,1185,110,-1075,21041640,1952200,-19089440,20240207,006840,AK홀딩스
개인,6268,8047,1779,111195320,142799610,31604290,20240207,006840,AK홀딩스
외국인,614,1106,492,10915590,19614550,8698960,20240207,006840,AK홀딩스
기타외국인,55,0,-55,975160,0,-975160,20240207,006840,AK홀딩스
전체,11164,11164,0,198133560,198133560,0,20240207,006840,AK홀딩스
금융투자,2768,5906,3138,377378600,808573000,431194400,20240207,282330,BGF리테일
보험,1360,1590,230,185439300,217721800,32282500,20240207,282330,BGF리테일
투신,1683,2846,1163,229870700,389771400,159900700,20240207,282330,BGF리테일
사모,120,202,82,16438200,27562800,11124600,20240207,282330,BGF리테일
은행,0,228,228,0,31215700,31215700,20240207,282330,BGF리테일
기타금융,3,3,0,411300,409700,-1600,20240207,282330,BGF리테일
연기금 등,10030,2231,-7799,1366502100,305360800,-1061141300,20240207,282330,BGF리테일
기관합계,15964,13006,-2958,2176040200,1780615200,-395425000,20240207,282330,BGF리테일
기타법인,3,51,48,414300,6941300,6527000,20240207,282330,BGF리테일
개인,7551,15830,8279,1034061900,2157614900,1123553000,20240207,282330,BGF리테일
외국인,34999,29610,-5389,4784369100,4047026100,-737343000,20240207,282330,BGF리테일
기타외국인,113,133,20,15503600,18191600,2688000,20240207,282330,BGF리테일
전체,58630,58630,0,8010389100,8010389100,0,20240207,282330,BGF리테일
금융투자,19983,20022,39,81659760,81832060,172300,20240207,027410,BGF
보험,0,0,0,0,0,0,20240207,027410,BGF
투신,0,9029,9029,0,36726605,36726605,20240207,027410,BGF
