투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,0,-1,10820,0,-10820,20240208,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240208,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240208,098120,마이크로컨텍솔
사모,5576,0,-5576,60944140,0,-60944140,20240208,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240208,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240208,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240208,098120,마이크로컨텍솔
기관합계,5577,0,-5577,60954960,0,-60954960,20240208,098120,마이크로컨텍솔
기타법인,0,45,45,0,495340,495340,20240208,098120,마이크로컨텍솔
개인,60452,92801,32349,658623700,1009857540,351233840,20240208,098120,마이크로컨텍솔
외국인,59402,36934,-22468,645065010,400589830,-244475180,20240208,098120,마이크로컨텍솔
기타외국인,4349,0,-4349,46299040,0,-46299040,20240208,098120,마이크로컨텍솔
전체,129780,129780,0,1410942710,1410942710,0,20240208,098120,마이크로컨텍솔
금융투자,7846,472,-7374,192588000,11622900,-180965100,20240208,009520,포스코엠텍
보험,0,0,0,0,0,0,20240208,009520,포스코엠텍
투신,0,0,0,0,0,0,20240208,009520,포스코엠텍
사모,537,44,-493,13250550,1083400,-12167150,20240208,009520,포스코엠텍
은행,0,0,0,0,0,0,20240208,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240208,009520,포스코엠텍
연기금 등,0,0,0,0,0,0,20240208,009520,포스코엠텍
기관합계,8383,516,-7867,205838550,12706300,-193132250,20240208,009520,포스코엠텍
기타법인,11728,6596,-5132,287682050,162295550,-125386500,20240208,009520,포스코엠텍
개인,300942,333633,32691,7404367750,8204685800,800318050,20240208,009520,포스코엠텍
외국인,89327,69582,-19745,2195915800,1712835500,-483080300,20240208,009520,포스코엠텍
기타외국인,429,482,53,10612500,11893500,1281000,20240208,009520,포스코엠텍
전체,410809,410809,0,10104416650,10104416650,0,20240208,009520,포스코엠텍
금융투자,29721,22020,-7701,145244035,107445035,-37799000,20240208,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240208,095570,AJ네트웍스
투신,3,10321,10318,14640,50314885,50300245,20240208,095570,AJ네트웍스
사모,62,641,579,303105,3130625,2827520,20240208,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240208,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240208,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240208,095570,AJ네트웍스
기관합계,29786,32982,3196,145561780,160890545,15328765,20240208,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240208,095570,AJ네트웍스
개인,216670,180151,-36519,1055615400,877472365,-178143035,20240208,095570,AJ네트웍스
외국인,40167,73390,33223,195531495,357856765,162325270,20240208,095570,AJ네트웍스
기타외국인,0,100,100,0,489000,489000,20240208,095570,AJ네트웍스
전체,286623,286623,0,1396708675,1396708675,0,20240208,095570,AJ네트웍스
금융투자,3233,2482,-751,56371660,43408910,-12962750,20240208,006840,AK홀딩스
보험,0,0,0,0,0,0,20240208,006840,AK홀딩스
투신,1,0,-1,17500,0,-17500,20240208,006840,AK홀딩스
사모,18,0,-18,314820,0,-314820,20240208,006840,AK홀딩스
은행,0,0,0,0,0,0,20240208,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240208,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240208,006840,AK홀딩스
기관합계,3252,2482,-770,56703980,43408910,-13295070,20240208,006840,AK홀딩스
기타법인,1211,22,-1189,21156970,385870,-20771100,20240208,006840,AK홀딩스
개인,5544,4496,-1048,96956880,78723310,-18233570,20240208,006840,AK홀딩스
외국인,3150,6185,3035,55200800,107991400,52790600,20240208,006840,AK홀딩스
기타외국인,30,2,-28,525320,34460,-490860,20240208,006840,AK홀딩스
전체,13187,13187,0,230543950,230543950,0,20240208,006840,AK홀딩스
금융투자,9788,9771,-17,1307949900,1317315600,9365700,20240208,282330,BGF리테일
보험,1066,1329,263,143005700,178511000,35505300,20240208,282330,BGF리테일
투신,6596,2507,-4089,888040700,336658600,-551382100,20240208,282330,BGF리테일
사모,1880,153,-1727,253361600,20647400,-232714200,20240208,282330,BGF리테일
은행,0,229,229,0,30762300,30762300,20240208,282330,BGF리테일
기타금융,230,2,-228,30911300,271300,-30640000,20240208,282330,BGF리테일
연기금 등,4843,5318,475,648953800,716084200,67130400,20240208,282330,BGF리테일
