투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,11660,11520,-140,20240130,098120,마이크로컨텍솔
보험,2003,0,-2003,23069980,0,-23069980,20240130,098120,마이크로컨텍솔
투신,5000,0,-5000,57964930,0,-57964930,20240130,098120,마이크로컨텍솔
사모,2002,0,-2002,23037020,0,-23037020,20240130,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240130,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240130,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240130,098120,마이크로컨텍솔
기관합계,9006,1,-9005,104083590,11520,-104072070,20240130,098120,마이크로컨텍솔
기타법인,236,0,-236,2747040,0,-2747040,20240130,098120,마이크로컨텍솔
개인,114098,93526,-20572,1322978720,1086720470,-236258250,20240130,098120,마이크로컨텍솔
외국인,13427,46974,33547,157353660,543790700,386437040,20240130,098120,마이크로컨텍솔
기타외국인,3824,90,-3734,44397560,1037880,-43359680,20240130,098120,마이크로컨텍솔
전체,140591,140591,0,1631560570,1631560570,0,20240130,098120,마이크로컨텍솔
금융투자,10320,2352,-7968,250263450,56612900,-193650550,20240130,009520,포스코엠텍
보험,0,0,0,0,0,0,20240130,009520,포스코엠텍
투신,0,0,0,0,0,0,20240130,009520,포스코엠텍
사모,0,49,49,0,1173550,1173550,20240130,009520,포스코엠텍
은행,0,0,0,0,0,0,20240130,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240130,009520,포스코엠텍
연기금 등,1,0,-1,23750,0,-23750,20240130,009520,포스코엠텍
기관합계,10321,2401,-7920,250287200,57786450,-192500750,20240130,009520,포스코엠텍
기타법인,20899,2150,-18749,510964300,52340000,-458624300,20240130,009520,포스코엠텍
개인,383629,462613,78984,9355082500,11267327200,1912244700,20240130,009520,포스코엠텍
외국인,129200,77064,-52136,3156307750,1899665000,-1256642750,20240130,009520,포스코엠텍
기타외국인,739,560,-179,18217150,13740250,-4476900,20240130,009520,포스코엠텍
전체,544788,544788,0,13290858900,13290858900,0,20240130,009520,포스코엠텍
금융투자,17023,17022,-1,81396765,81401490,4725,20240130,095570,AJ네트웍스
보험,0,5554,5554,0,26726120,26726120,20240130,095570,AJ네트웍스
투신,0,6195,6195,0,29627030,29627030,20240130,095570,AJ네트웍스
사모,0,0,0,0,0,0,20240130,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240130,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240130,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240130,095570,AJ네트웍스
기관합계,17023,28771,11748,81396765,137754640,56357875,20240130,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240130,095570,AJ네트웍스
개인,71718,70311,-1407,343177590,336480825,-6696765,20240130,095570,AJ네트웍스
외국인,28872,18531,-10341,138258685,88597575,-49661110,20240130,095570,AJ네트웍스
기타외국인,0,0,0,0,0,0,20240130,095570,AJ네트웍스
전체,117613,117613,0,562833040,562833040,0,20240130,095570,AJ네트웍스
금융투자,813,253,-560,12997080,4037980,-8959100,20240130,006840,AK홀딩스
보험,0,0,0,0,0,0,20240130,006840,AK홀딩스
투신,3,0,-3,48010,0,-48010,20240130,006840,AK홀딩스
사모,0,0,0,0,0,0,20240130,006840,AK홀딩스
은행,0,0,0,0,0,0,20240130,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240130,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240130,006840,AK홀딩스
기관합계,816,253,-563,13045090,4037980,-9007110,20240130,006840,AK홀딩스
기타법인,1,0,-1,15940,0,-15940,20240130,006840,AK홀딩스
개인,1817,2489,672,29052340,39799600,10747260,20240130,006840,AK홀딩스
외국인,109,1,-108,1740230,16020,-1724210,20240130,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240130,006840,AK홀딩스
전체,2743,2743,0,43853600,43853600,0,20240130,006840,AK홀딩스
금융투자,1335,4193,2858,189912500,598243000,408330500,20240130,282330,BGF리테일
보험,5807,0,-5807,826897400,0,-826897400,20240130,282330,BGF리테일
투신,1648,1113,-535,233953800,158749900,-75203900,20240130,282330,BGF리테일
사모,305,388,83,43481100,55573500,12092400,20240130,282330,BGF리테일
은행,278,0,-278,39421500,0,-39421500,20240130,282330,BGF리테일
기타금융,272,2,-270,38740000,286800,-38453200,20240130,282330,BGF리테일
연기금 등,13010,264,-12746,1854620400,37785100,-1816835300,20240130,282330,BGF리테일
기관합계,22655,5960,-16695,3227026700,850638300,-2376388400,20240130,282330,BGF리테일
기타법인,400,107,-293,57239200,15200800,-42038400,20240130,282330,BGF리테일
개인,6786,21040,14254,967847500,2997850300,2030002800,20240130,282330,BGF리테일
외국인,18068,20798,2730,2574624500,2962476800,387852300,20240130,282330,BGF리테일
기타외국인,1,5,4,143000,714700,571700,20240130,282330,BGF리테일
전체,47910,47910,0,6826880900,6826880900,0,20240130,282330,BGF리테일
금융투자,3516,4516,1000,13064255,16777740,3713485,20240130,027410,BGF
보험,0,0,0,0,0,0,20240130,027410,BGF
투신,0,0,0,0,0,0,20240130,027410,BGF
사모,0,20000,20000,0,74387355,74387355,20240130,027410,BGF
은행,0,0,0,0,0,0,20240130,027410,BGF
기타금융,0,0,0,0,0,0,20240130,027410,BGF
연기금 등,0,20000,20000,0,74451105,74451105,20240130,027410,BGF
기관합계,3516,44516,41000,13064255,165616200,152551945,20240130,027410,BGF
기타법인,0,2,2,0,7420,7420,20240130,027410,BGF
개인,94535,136738,42203,350951975,507884870,156932895,20240130,027410,BGF
외국인,97605,14486,-83119,363066820,53892745,-309174075,20240130,027410,BGF
기타외국인,87,1,-86,321900,3715,-318185,20240130,027410,BGF
전체,195743,195743,0,727404950,727404950,0,20240130,027410,BGF
금융투자,72822,149481,76659,540984170,1111579530,570595360,20240130,138930,BNK금융지주
보험,694,40501,39807,5147040,300944900,295797860,20240130,138930,BNK금융지주
투신,2264,86586,84322,16774350,643790720,627016370,20240130,138930,BNK금융지주
사모,6711,68558,61847,49815340,510326820,460511480,20240130,138930,BNK금융지주
은행,0,0,0,0,0,0,20240130,138930,BNK금융지주
기타금융,0,0,0,0,0,0,20240130,138930,BNK금융지주
연기금 등,8484,51034,42550,62906840,379419050,316512210,20240130,138930,BNK금융지주
