투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,11880,12030,150,20240129,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240129,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240129,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240129,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240129,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240129,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240129,098120,마이크로컨텍솔
기관합계,1,1,0,11880,12030,150,20240129,098120,마이크로컨텍솔
기타법인,108,1000,892,1285200,11870000,10584800,20240129,098120,마이크로컨텍솔
개인,80517,81115,598,960420460,969194520,8774060,20240129,098120,마이크로컨텍솔
외국인,22248,20798,-1450,267426720,248542910,-18883810,20240129,098120,마이크로컨텍솔
기타외국인,40,0,-40,475200,0,-475200,20240129,098120,마이크로컨텍솔
전체,102914,102914,0,1229619460,1229619460,0,20240129,098120,마이크로컨텍솔
금융투자,7036,4594,-2442,169429600,110504400,-58925200,20240129,009520,포스코엠텍
보험,0,0,0,0,0,0,20240129,009520,포스코엠텍
투신,121,0,-121,2897750,0,-2897750,20240129,009520,포스코엠텍
사모,0,8,8,0,193500,193500,20240129,009520,포스코엠텍
은행,0,0,0,0,0,0,20240129,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240129,009520,포스코엠텍
연기금 등,0,0,0,0,0,0,20240129,009520,포스코엠텍
기관합계,7157,4602,-2555,172327350,110697900,-61629450,20240129,009520,포스코엠텍
기타법인,802,1216,414,19327900,29243800,9915900,20240129,009520,포스코엠텍
개인,356353,394384,38031,8580241550,9507299300,927057750,20240129,009520,포스코엠텍
외국인,106077,66680,-39397,2566094100,1606516150,-959577950,20240129,009520,포스코엠텍
기타외국인,355,3862,3507,8574400,92808150,84233750,20240129,009520,포스코엠텍
전체,470744,470744,0,11346565300,11346565300,0,20240129,009520,포스코엠텍
금융투자,11170,10977,-193,52898240,52004605,-893635,20240129,095570,AJ네트웍스
보험,13,0,-13,61625,0,-61625,20240129,095570,AJ네트웍스
투신,48,0,-48,228480,0,-228480,20240129,095570,AJ네트웍스
사모,0,0,0,0,0,0,20240129,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240129,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240129,095570,AJ네트웍스
연기금 등,1976,0,-1976,9349230,0,-9349230,20240129,095570,AJ네트웍스
기관합계,13207,10977,-2230,62537575,52004605,-10532970,20240129,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240129,095570,AJ네트웍스
개인,37902,56362,18460,179553935,267155200,87601265,20240129,095570,AJ네트웍스
외국인,32420,16147,-16273,153829990,76557045,-77272945,20240129,095570,AJ네트웍스
기타외국인,0,43,43,0,204650,204650,20240129,095570,AJ네트웍스
전체,83529,83529,0,395921500,395921500,0,20240129,095570,AJ네트웍스
금융투자,1068,748,-320,17026650,11923880,-5102770,20240129,006840,AK홀딩스
보험,0,0,0,0,0,0,20240129,006840,AK홀딩스
투신,15,0,-15,239650,0,-239650,20240129,006840,AK홀딩스
사모,0,180,180,0,2875050,2875050,20240129,006840,AK홀딩스
은행,0,0,0,0,0,0,20240129,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240129,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240129,006840,AK홀딩스
기관합계,1083,928,-155,17266300,14798930,-2467370,20240129,006840,AK홀딩스
기타법인,0,60,60,0,953400,953400,20240129,006840,AK홀딩스
개인,2356,3256,900,37280000,51615860,14335860,20240129,006840,AK홀딩스
외국인,882,74,-808,14044600,1176210,-12868390,20240129,006840,AK홀딩스
기타외국인,0,3,3,0,46500,46500,20240129,006840,AK홀딩스
전체,4321,4321,0,68590900,68590900,0,20240129,006840,AK홀딩스
금융투자,1976,2160,184,286621700,314862800,28241100,20240129,282330,BGF리테일
보험,1085,203,-882,157668500,29503500,-128165000,20240129,282330,BGF리테일
투신,52,67,15,7538900,9730400,2191500,20240129,282330,BGF리테일
사모,18,31,13,2602800,4511500,1908700,20240129,282330,BGF리테일
은행,0,0,0,0,0,0,20240129,282330,BGF리테일
기타금융,1,2,1,145200,291800,146600,20240129,282330,BGF리테일
연기금 등,542,3831,3289,78941000,559671200,480730200,20240129,282330,BGF리테일
기관합계,3674,6294,2620,533518100,918571200,385053100,20240129,282330,BGF리테일
기타법인,0,30,30,0,4361000,4361000,20240129,282330,BGF리테일
개인,7161,5530,-1631,1044870800,804670400,-240200400,20240129,282330,BGF리테일
외국인,9309,8286,-1023,1356107200,1206314400,-149792800,20240129,282330,BGF리테일
기타외국인,0,4,4,0,579100,579100,20240129,282330,BGF리테일
전체,20144,20144,0,2934496100,2934496100,0,20240129,282330,BGF리테일
금융투자,8649,8662,13,31508610,31528570,19960,20240129,027410,BGF
보험,36,0,-36,131960,0,-131960,20240129,027410,BGF
투신,93,0,-93,344960,0,-344960,20240129,027410,BGF
사모,0,0,0,0,0,0,20240129,027410,BGF
은행,72,0,-72,262625,0,-262625,20240129,027410,BGF
기타금융,0,0,0,0,0,0,20240129,027410,BGF
연기금 등,0,3601,3601,0,13070220,13070220,20240129,027410,BGF
기관합계,8850,12263,3413,32248155,44598790,12350635,20240129,027410,BGF
기타법인,6,3330,3324,21930,12238950,12217020,20240129,027410,BGF
개인,63338,84288,20950,232042485,308637650,76595165,20240129,027410,BGF
외국인,29522,1748,-27774,107866655,6383540,-101483115,20240129,027410,BGF
기타외국인,0,87,87,0,320295,320295,20240129,027410,BGF
전체,101716,101716,0,372179225,372179225,0,20240129,027410,BGF
금융투자,101479,428548,327069,747964140,3175206810,2427242670,20240129,138930,BNK금융지주
보험,671,10840,10169,4975780,79894190,74918410,20240129,138930,BNK금융지주
투신,6130,40601,34471,45419320,298592750,253173430,20240129,138930,BNK금융지주
사모,3859,79594,75735,28669120,583816010,555146890,20240129,138930,BNK금융지주
은행,0,0,0,0,0,0,20240129,138930,BNK금융지주
기타금융,2,1,-1,14670,7330,-7340,20240129,138930,BNK금융지주
연기금 등,9924,90763,80839,72671730,666844420,594172690,20240129,138930,BNK금융지주
기관합계,122065,650347,528282,899714760,4804361510,3904646750,20240129,138930,BNK금융지주
기타법인,355082,8117,-346965,2634671430,59890480,-2574780950,20240129,138930,BNK금융지주
개인,1910293,857334,-1052959,14052739320,6322515880,-7730223440,20240129,138930,BNK금융지주
외국인,54598,928526,873928,403938220,6821092200,6417153980,20240129,138930,BNK금융지주
기타외국인,3446,1160,-2286,25276140,8479800,-16796340,20240129,138930,BNK금융지주
전체,2445484,2445484,0,18016339870,18016339870,0,20240129,138930,BNK금융지주
금융투자,0,0,0,0,0,0,20240129,001465,BYC우
보험,0,0,0,0,0,0,20240129,001465,BYC우
투신,0,0,0,0,0,0,20240129,001465,BYC우
사모,0,0,0,0,0,0,20240129,001465,BYC우
은행,0,0,0,0,0,0,20240129,001465,BYC우
기타금융,0,0,0,0,0,0,20240129,001465,BYC우
연기금 등,0,0,0,0,0,0,20240129,001465,BYC우
기관합계,0,0,0,0,0,0,20240129,001465,BYC우
기타법인,0,0,0,0,0,0,20240129,001465,BYC우
개인,70,70,0,9847300,9847300,0,20240129,001465,BYC우
