투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,2,16,14,29080,236570,207490,20240102,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240102,098120,마이크로컨텍솔
투신,0,23600,23600,0,340496920,340496920,20240102,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240102,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240102,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240102,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240102,098120,마이크로컨텍솔
기관합계,2,23616,23614,29080,340733490,340704410,20240102,098120,마이크로컨텍솔
기타법인,500,1852,1352,7308000,27270950,19962950,20240102,098120,마이크로컨텍솔
개인,351185,307222,-43963,5080334130,4456107240,-624226890,20240102,098120,마이크로컨텍솔
외국인,78995,96950,17955,1138106800,1386775800,248669000,20240102,098120,마이크로컨텍솔
기타외국인,331,1373,1042,4861900,19752430,14890530,20240102,098120,마이크로컨텍솔
전체,431013,431013,0,6230639910,6230639910,0,20240102,098120,마이크로컨텍솔
금융투자,16259,15797,-462,479597350,463490200,-16107150,20240102,009520,포스코엠텍
보험,0,0,0,0,0,0,20240102,009520,포스코엠텍
투신,0,0,0,0,0,0,20240102,009520,포스코엠텍
사모,2861,366,-2495,81850600,10547100,-71303500,20240102,009520,포스코엠텍
은행,0,0,0,0,0,0,20240102,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240102,009520,포스코엠텍
연기금 등,0,0,0,0,0,0,20240102,009520,포스코엠텍
기관합계,19120,16163,-2957,561447950,474037300,-87410650,20240102,009520,포스코엠텍
기타법인,1578,30611,29033,47050750,905336200,858285450,20240102,009520,포스코엠텍
개인,2245591,2338149,92558,65641732450,68424242750,2782510300,20240102,009520,포스코엠텍
외국인,484391,364726,-119665,14261061750,10676523300,-3584538450,20240102,009520,포스코엠텍
기타외국인,4245,5276,1031,123912800,155066150,31153350,20240102,009520,포스코엠텍
전체,2754925,2754925,0,80635205700,80635205700,0,20240102,009520,포스코엠텍
금융투자,30598,30435,-163,155411035,155015170,-395865,20240102,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240102,095570,AJ네트웍스
투신,1,80010,80009,5150,408608565,408603415,20240102,095570,AJ네트웍스
사모,22,31,9,113300,160580,47280,20240102,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240102,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240102,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240102,095570,AJ네트웍스
기관합계,30621,110476,79855,155529485,563784315,408254830,20240102,095570,AJ네트웍스
기타법인,0,21329,21329,0,109800510,109800510,20240102,095570,AJ네트웍스
개인,217183,113851,-103332,1106097800,579844735,-526253065,20240102,095570,AJ네트웍스
외국인,27662,29569,1907,141647260,148608825,6961565,20240102,095570,AJ네트웍스
기타외국인,51,292,241,264170,1500330,1236160,20240102,095570,AJ네트웍스
전체,275517,275517,0,1403538715,1403538715,0,20240102,095570,AJ네트웍스
금융투자,91,97,6,1546980,1651430,104450,20240102,006840,AK홀딩스
보험,0,0,0,0,0,0,20240102,006840,AK홀딩스
투신,0,0,0,0,0,0,20240102,006840,AK홀딩스
사모,0,9,9,0,152960,152960,20240102,006840,AK홀딩스
은행,0,0,0,0,0,0,20240102,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240102,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240102,006840,AK홀딩스
기관합계,91,106,15,1546980,1804390,257410,20240102,006840,AK홀딩스
기타법인,26,653,627,441240,11107420,10666180,20240102,006840,AK홀딩스
개인,4531,4266,-265,76975150,72454000,-4521150,20240102,006840,AK홀딩스
외국인,377,0,-377,6402440,0,-6402440,20240102,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240102,006840,AK홀딩스
전체,5025,5025,0,85365810,85365810,0,20240102,006840,AK홀딩스
금융투자,1901,3367,1466,254735100,450540900,195805800,20240102,282330,BGF리테일
보험,1707,4150,2443,228137500,556603600,328466100,20240102,282330,BGF리테일
투신,169,2036,1867,22680400,272352400,249672000,20240102,282330,BGF리테일
사모,84,2885,2801,11275200,386964800,375689600,20240102,282330,BGF리테일
은행,0,0,0,0,0,0,20240102,282330,BGF리테일
기타금융,13,146,133,1740600,19596200,17855600,20240102,282330,BGF리테일
연기금 등,4547,3233,-1314,606929200,432330500,-174598700,20240102,282330,BGF리테일
기관합계,8421,15817,7396,1125498000,2118388400,992890400,20240102,282330,BGF리테일
기타법인,237,135,-102,31138500,18036200,-13102300,20240102,282330,BGF리테일
개인,46354,17323,-29031,6197712400,2311841500,-3885870900,20240102,282330,BGF리테일
외국인,14952,36789,21837,1995663900,4915174800,2919510900,20240102,282330,BGF리테일
기타외국인,113,13,-100,15155800,1727700,-13428100,20240102,282330,BGF리테일
전체,70077,70077,0,9365168600,9365168600,0,20240102,282330,BGF리테일
금융투자,9578,7048,-2530,36751665,27022330,-9729335,20240102,027410,BGF
보험,0,0,0,0,0,0,20240102,027410,BGF
투신,1,25,24,3850,95250,91400,20240102,027410,BGF
사모,1852,63,-1789,7093305,238770,-6854535,20240102,027410,BGF
은행,0,0,0,0,0,0,20240102,027410,BGF
기타금융,0,0,0,0,0,0,20240102,027410,BGF
연기금 등,41904,0,-41904,159420600,0,-159420600,20240102,027410,BGF
기관합계,53335,7136,-46199,203269420,27356350,-175913070,20240102,027410,BGF
기타법인,0,0,0,0,0,0,20240102,027410,BGF
개인,82630,89918,7288,317226385,344083135,26856750,20240102,027410,BGF
외국인,6048,44959,38911,23091315,172147615,149056300,20240102,027410,BGF
기타외국인,1,1,0,3850,3870,20,20240102,027410,BGF
전체,142014,142014,0,543590970,543590970,0,20240102,027410,BGF
금융투자,52202,137543,85341,366494890,963132460,596637570,20240102,138930,BNK금융지주
보험,6481,1313,-5168,45354830,9241210,-36113620,20240102,138930,BNK금융지주
투신,61359,28726,-32633,427366440,201512160,-225854280,20240102,138930,BNK금융지주
사모,3924,53568,49644,27470920,376085570,348614650,20240102,138930,BNK금융지주
은행,0,0,0,0,0,0,20240102,138930,BNK금융지주
기타금융,443,975,532,3110940,6859060,3748120,20240102,138930,BNK금융지주
연기금 등,79934,44346,-35588,558469840,311804600,-246665240,20240102,138930,BNK금융지주
기관합계,204343,266471,62128,1428267860,1868635060,440367200,20240102,138930,BNK금융지주
기타법인,2150,11682,9532,14959500,81648100,66688600,20240102,138930,BNK금융지주
개인,491280,949251,457971,3439142570,6630521750,3191379180,20240102,138930,BNK금융지주
외국인,597707,66970,-530737,4175641880,469525850,-3706116030,20240102,138930,BNK금융지주
기타외국인,172,1278,1106,1204210,8885260,7681050,20240102,138930,BNK금융지주
전체,1295652,1295652,0,9059216020,9059216020,0,20240102,138930,BNK금융지주
금융투자,0,0,0,0,0,0,20240102,001465,BYC우
보험,0,0,0,0,0,0,20240102,001465,BYC우
투신,0,0,0,0,0,0,20240102,001465,BYC우
사모,0,0,0,0,0,0,20240102,001465,BYC우
은행,0,0,0,0,0,0,20240102,001465,BYC우
기타금융,0,0,0,0,0,0,20240102,001465,BYC우
연기금 등,0,0,0,0,0,0,20240102,001465,BYC우
기관합계,0,0,0,0,0,0,20240102,001465,BYC우
기타법인,0,0,0,0,0,0,20240102,001465,BYC우
개인,13,13,0,1849500,1849500,0,20240102,001465,BYC우
외국인,0,0,0,0,0,0,20240102,001465,BYC우
기타외국인,0,0,0,0,0,0,20240102,001465,BYC우
전체,13,13,0,1849500,1849500,0,20240102,001465,BYC우
금융투자,3,1,-2,1263000,426500,-836500,20240102,001460,BYC
보험,0,0,0,0,0,0,20240102,001460,BYC
투신,0,0,0,0,0,0,20240102,001460,BYC
사모,0,0,0,0,0,0,20240102,001460,BYC
은행,0,0,0,0,0,0,20240102,001460,BYC
기타금융,0,0,0,0,0,0,20240102,001460,BYC
연기금 등,0,0,0,0,0,0,20240102,001460,BYC
기관합계,3,1,-2,1263000,426500,-836500,20240102,001460,BYC
기타법인,0,1,1,0,420000,420000,20240102,001460,BYC
개인,12,13,1,5079500,5496000,416500,20240102,001460,BYC
외국인,0,0,0,0,0,0,20240102,001460,BYC
기타외국인,0,0,0,0,0,0,20240102,001460,BYC
전체,15,15,0,6342500,6342500,0,20240102,001460,BYC
금융투자,2,2,0,102400,103200,800,20240102,001045,CJ우
보험,0,0,0,0,0,0,20240102,001045,CJ우
투신,0,0,0,0,0,0,20240102,001045,CJ우
사모,0,0,0,0,0,0,20240102,001045,CJ우
은행,0,0,0,0,0,0,20240102,001045,CJ우
기타금융,0,0,0,0,0,0,20240102,001045,CJ우
연기금 등,0,0,0,0,0,0,20240102,001045,CJ우
기관합계,2,2,0,102400,103200,800,20240102,001045,CJ우
기타법인,0,819,819,0,41980000,41980000,20240102,001045,CJ우
개인,1018,227,-791,52192100,11652700,-40539400,20240102,001045,CJ우
외국인,28,0,-28,1441400,0,-1441400,20240102,001045,CJ우
기타외국인,0,0,0,0,0,0,20240102,001045,CJ우
전체,1048,1048,0,53735900,53735900,0,20240102,001045,CJ우
금융투자,807,577,-230,56684800,40575900,-16108900,20240102,00104K,CJ4우(전환)
보험,976,0,-976,68573500,0,-68573500,20240102,00104K,CJ4우(전환)
투신,0,0,0,0,0,0,20240102,00104K,CJ4우(전환)
사모,0,0,0,0,0,0,20240102,00104K,CJ4우(전환)
은행,0,0,0,0,0,0,20240102,00104K,CJ4우(전환)
기타금융,0,0,0,0,0,0,20240102,00104K,CJ4우(전환)
연기금 등,0,0,0,0,0,0,20240102,00104K,CJ4우(전환)
기관합계,1783,577,-1206,125258300,40575900,-84682400,20240102,00104K,CJ4우(전환)
기타법인,0,0,0,0,0,0,20240102,00104K,CJ4우(전환)
개인,2805,4258,1453,196732700,298722100,101989400,20240102,00104K,CJ4우(전환)
외국인,247,0,-247,17307000,0,-17307000,20240102,00104K,CJ4우(전환)
기타외국인,0,0,0,0,0,0,20240102,00104K,CJ4우(전환)
전체,4835,4835,0,339298000,339298000,0,20240102,00104K,CJ4우(전환)
금융투자,7129,5340,-1789,668269400,501996000,-166273400,20240102,001040,CJ
