투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
기관합계,0,0,0,0,0,0,20240125,098120,마이크로컨텍솔
기타법인,100,1036,936,1282000,13309000,12027000,20240125,098120,마이크로컨텍솔
개인,122850,146099,23249,1581207660,1875809730,294602070,20240125,098120,마이크로컨텍솔
외국인,55848,31661,-24187,716634550,409976080,-306658470,20240125,098120,마이크로컨텍솔
기타외국인,100,102,2,1264000,1293400,29400,20240125,098120,마이크로컨텍솔
전체,178898,178898,0,2300388210,2300388210,0,20240125,098120,마이크로컨텍솔
금융투자,4899,4815,-84,116693050,115138450,-1554600,20240125,009520,포스코엠텍
보험,0,0,0,0,0,0,20240125,009520,포스코엠텍
투신,0,0,0,0,0,0,20240125,009520,포스코엠텍
사모,0,107,107,0,2562750,2562750,20240125,009520,포스코엠텍
은행,0,0,0,0,0,0,20240125,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240125,009520,포스코엠텍
연기금 등,0,0,0,0,0,0,20240125,009520,포스코엠텍
기관합계,4899,4922,23,116693050,117701200,1008150,20240125,009520,포스코엠텍
기타법인,11526,1800,-9726,274333850,42640000,-231693850,20240125,009520,포스코엠텍
개인,536726,386418,-150308,12782061150,9212983000,-3569078150,20240125,009520,포스코엠텍
외국인,98761,257315,158554,2359742950,6124623300,3764880350,20240125,009520,포스코엠텍
기타외국인,1395,2852,1457,33263700,68147200,34883500,20240125,009520,포스코엠텍
전체,653307,653307,0,15566094700,15566094700,0,20240125,009520,포스코엠텍
금융투자,27093,26206,-887,128551155,124649425,-3901730,20240125,095570,AJ네트웍스
보험,26,0,-26,122695,0,-122695,20240125,095570,AJ네트웍스
투신,0,30000,30000,0,143131390,143131390,20240125,095570,AJ네트웍스
사모,1300,31,-1269,6162000,147875,-6014125,20240125,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240125,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240125,095570,AJ네트웍스
연기금 등,3700,0,-3700,17496745,0,-17496745,20240125,095570,AJ네트웍스
기관합계,32119,56237,24118,152332595,267928690,115596095,20240125,095570,AJ네트웍스
기타법인,0,500,500,0,2403500,2403500,20240125,095570,AJ네트웍스
개인,60778,93075,32297,289116460,442404085,153287625,20240125,095570,AJ네트웍스
외국인,94810,37893,-56917,450877270,179580540,-271296730,20240125,095570,AJ네트웍스
기타외국인,0,2,2,0,9510,9510,20240125,095570,AJ네트웍스
전체,187707,187707,0,892326325,892326325,0,20240125,095570,AJ네트웍스
금융투자,1114,687,-427,17850280,11007780,-6842500,20240125,006840,AK홀딩스
보험,0,0,0,0,0,0,20240125,006840,AK홀딩스
투신,0,0,0,0,0,0,20240125,006840,AK홀딩스
사모,0,19,19,0,303840,303840,20240125,006840,AK홀딩스
은행,0,0,0,0,0,0,20240125,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240125,006840,AK홀딩스
연기금 등,982,0,-982,15713810,0,-15713810,20240125,006840,AK홀딩스
기관합계,2096,706,-1390,33564090,11311620,-22252470,20240125,006840,AK홀딩스
기타법인,23,80,57,368140,1276400,908260,20240125,006840,AK홀딩스
개인,3468,4670,1202,55470900,74715600,19244700,20240125,006840,AK홀딩스
외국인,26,72,46,420270,1158930,738660,20240125,006840,AK홀딩스
기타외국인,0,85,85,0,1360850,1360850,20240125,006840,AK홀딩스
전체,5613,5613,0,89823400,89823400,0,20240125,006840,AK홀딩스
금융투자,1517,3837,2320,216358600,545789600,329431000,20240125,282330,BGF리테일
보험,316,5,-311,45183400,710900,-44472500,20240125,282330,BGF리테일
투신,13512,1686,-11826,1919799800,239722100,-1680077700,20240125,282330,BGF리테일
사모,1,0,-1,143000,0,-143000,20240125,282330,BGF리테일
은행,0,0,0,0,0,0,20240125,282330,BGF리테일
기타금융,1,0,-1,142700,0,-142700,20240125,282330,BGF리테일
연기금 등,4012,1470,-2542,570558400,209094200,-361464200,20240125,282330,BGF리테일
기관합계,19359,6998,-12361,2752185900,995316800,-1756869100,20240125,282330,BGF리테일
기타법인,4,109,105,573200,15478600,14905400,20240125,282330,BGF리테일
개인,11369,9362,-2007,1615036700,1329785100,-285251600,20240125,282330,BGF리테일
외국인,12951,27212,14261,1845621900,3872557400,2026935500,20240125,282330,BGF리테일
기타외국인,2,4,2,287400,567200,279800,20240125,282330,BGF리테일
전체,43685,43685,0,6213705100,6213705100,0,20240125,282330,BGF리테일
금융투자,8865,8834,-31,31299395,31234600,-64795,20240125,027410,BGF
보험,72,0,-72,255160,0,-255160,20240125,027410,BGF
투신,0,0,0,0,0,0,20240125,027410,BGF
사모,0,131,131,0,462480,462480,20240125,027410,BGF
은행,0,1085,1085,0,3837620,3837620,20240125,027410,BGF
기타금융,0,0,0,0,0,0,20240125,027410,BGF
연기금 등,0,0,0,0,0,0,20240125,027410,BGF
기관합계,8937,10050,1113,31554555,35534700,3980145,20240125,027410,BGF
기타법인,0,0,0,0,0,0,20240125,027410,BGF
개인,67820,78389,10569,239664290,277063735,37399445,20240125,027410,BGF
외국인,14772,3083,-11689,52243305,10839070,-41404235,20240125,027410,BGF
기타외국인,0,7,7,0,24645,24645,20240125,027410,BGF
전체,91529,91529,0,323462150,323462150,0,20240125,027410,BGF
금융투자,36721,177246,140525,263267520,1273055880,1009788360,20240125,138930,BNK금융지주
보험,798,12234,11436,5727540,87861180,82133640,20240125,138930,BNK금융지주
투신,5089,4719,-370,36514650,33893780,-2620870,20240125,138930,BNK금융지주
사모,0,24284,24284,0,174090800,174090800,20240125,138930,BNK금융지주
은행,0,2750,2750,0,19763450,19763450,20240125,138930,BNK금융지주
기타금융,0,0,0,0,0,0,20240125,138930,BNK금융지주
연기금 등,9395,158517,149122,67345030,1136709750,1069364720,20240125,138930,BNK금융지주
기관합계,52003,379750,327747,372854740,2725374840,2352520100,20240125,138930,BNK금융지주
기타법인,19730,970,-18760,141926100,6948600,-134977500,20240125,138930,BNK금융지주
개인,743153,122328,-620825,5330892010,877062640,-4453829370,20240125,138930,BNK금융지주
외국인,117003,429078,312075,840813920,3078800650,2237986730,20240125,138930,BNK금융지주
기타외국인,242,5,-237,1735860,35900,-1699960,20240125,138930,BNK금융지주
전체,932131,932131,0,6688222630,6688222630,0,20240125,138930,BNK금융지주
금융투자,10,10,0,1398000,1398000,0,20240125,001465,BYC우
보험,0,0,0,0,0,0,20240125,001465,BYC우
투신,0,0,0,0,0,0,20240125,001465,BYC우
사모,0,0,0,0,0,0,20240125,001465,BYC우
은행,0,0,0,0,0,0,20240125,001465,BYC우
기타금융,0,0,0,0,0,0,20240125,001465,BYC우
연기금 등,0,0,0,0,0,0,20240125,001465,BYC우
기관합계,10,10,0,1398000,1398000,0,20240125,001465,BYC우
기타법인,0,0,0,0,0,0,20240125,001465,BYC우
개인,6,6,0,845600,845600,0,20240125,001465,BYC우
외국인,0,0,0,0,0,0,20240125,001465,BYC우
기타외국인,0,0,0,0,0,0,20240125,001465,BYC우
전체,16,16,0,2243600,2243600,0,20240125,001465,BYC우
금융투자,2,2,0,787000,802000,15000,20240125,001460,BYC
보험,0,0,0,0,0,0,20240125,001460,BYC
투신,0,0,0,0,0,0,20240125,001460,BYC
사모,0,0,0,0,0,0,20240125,001460,BYC
