투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,11580,11600,20,20240214,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240214,098120,마이크로컨텍솔
투신,69,0,-69,783820,0,-783820,20240214,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240214,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240214,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240214,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240214,098120,마이크로컨텍솔
기관합계,70,1,-69,795400,11600,-783800,20240214,098120,마이크로컨텍솔
기타법인,104,1500,1396,1228240,17370000,16141760,20240214,098120,마이크로컨텍솔
개인,123689,108994,-14695,1434968340,1262066450,-172901890,20240214,098120,마이크로컨텍솔
외국인,43248,56616,13368,500769940,658313870,157543930,20240214,098120,마이크로컨텍솔
기타외국인,0,0,0,0,0,0,20240214,098120,마이크로컨텍솔
전체,167111,167111,0,1937761920,1937761920,0,20240214,098120,마이크로컨텍솔
금융투자,20564,4000,-16564,492041250,97312050,-394729200,20240214,009520,포스코엠텍
보험,0,0,0,0,0,0,20240214,009520,포스코엠텍
투신,6,0,-6,146350,0,-146350,20240214,009520,포스코엠텍
사모,537,379,-158,13055300,9223100,-3832200,20240214,009520,포스코엠텍
은행,0,0,0,0,0,0,20240214,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240214,009520,포스코엠텍
연기금 등,1440,1440,0,34885000,34814400,-70600,20240214,009520,포스코엠텍
기관합계,22547,5819,-16728,540127900,141349550,-398778350,20240214,009520,포스코엠텍
기타법인,2652,1247,-1405,64655900,30076750,-34579150,20240214,009520,포스코엠텍
개인,335198,312183,-23015,8089331200,7535316450,-554014750,20240214,009520,포스코엠텍
외국인,62161,103666,41505,1498487050,2494502150,996015100,20240214,009520,포스코엠텍
기타외국인,538,181,-357,12940950,4298100,-8642850,20240214,009520,포스코엠텍
전체,423096,423096,0,10205543000,10205543000,0,20240214,009520,포스코엠텍
금융투자,16798,18139,1341,81451345,87937115,6485770,20240214,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240214,095570,AJ네트웍스
투신,1,10321,10320,4860,50343755,50338895,20240214,095570,AJ네트웍스
사모,0,667,667,0,3248550,3248550,20240214,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240214,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240214,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240214,095570,AJ네트웍스
기관합계,16799,29127,12328,81456205,141529420,60073215,20240214,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240214,095570,AJ네트웍스
개인,85053,79608,-5445,413378035,387426910,-25951125,20240214,095570,AJ네트웍스
외국인,29095,22212,-6883,141626745,107504655,-34122090,20240214,095570,AJ네트웍스
기타외국인,0,0,0,0,0,0,20240214,095570,AJ네트웍스
전체,130947,130947,0,636460985,636460985,0,20240214,095570,AJ네트웍스
금융투자,4377,2618,-1759,76234370,45719950,-30514420,20240214,006840,AK홀딩스
보험,0,0,0,0,0,0,20240214,006840,AK홀딩스
투신,8,0,-8,139210,0,-139210,20240214,006840,AK홀딩스
사모,0,0,0,0,0,0,20240214,006840,AK홀딩스
은행,0,0,0,0,0,0,20240214,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240214,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240214,006840,AK홀딩스
기관합계,4385,2618,-1767,76373580,45719950,-30653630,20240214,006840,AK홀딩스
기타법인,956,44,-912,16693560,768180,-15925380,20240214,006840,AK홀딩스
개인,7295,6838,-457,126821160,118737320,-8083840,20240214,006840,AK홀딩스
외국인,547,3730,3183,9537620,65021790,55484170,20240214,006840,AK홀딩스
기타외국인,47,0,-47,821320,0,-821320,20240214,006840,AK홀딩스
전체,13230,13230,0,230247240,230247240,0,20240214,006840,AK홀딩스
금융투자,4452,723,-3729,593344500,96382900,-496961600,20240214,282330,BGF리테일
보험,106,5,-101,14128500,666000,-13462500,20240214,282330,BGF리테일
투신,684,418,-266,91172500,55755800,-35416700,20240214,282330,BGF리테일
사모,24,581,557,3201600,77506500,74304900,20240214,282330,BGF리테일
은행,0,0,0,0,0,0,20240214,282330,BGF리테일
기타금융,1,1,0,133300,133300,0,20240214,282330,BGF리테일
연기금 등,4318,1163,-3155,575419500,155002900,-420416600,20240214,282330,BGF리테일
기관합계,9585,2891,-6694,1277399900,385447400,-891952500,20240214,282330,BGF리테일
기타법인,0,160,160,0,21347300,21347300,20240214,282330,BGF리테일
개인,7157,13209,6052,953584900,1759981300,806396400,20240214,282330,BGF리테일
외국인,14248,14708,460,1899197800,1960475400,61277600,20240214,282330,BGF리테일
기타외국인,0,22,22,0,2931200,2931200,20240214,282330,BGF리테일
전체,30990,30990,0,4130182600,4130182600,0,20240214,282330,BGF리테일
금융투자,22872,22648,-224,93261130,92831585,-429545,20240214,027410,BGF
보험,0,0,0,0,0,0,20240214,027410,BGF
투신,4101,749,-3352,16460530,3073980,-13386550,20240214,027410,BGF
사모,996,1402,406,4027775,5759770,1731995,20240214,027410,BGF
은행,64,134,70,261105,551115,290010,20240214,027410,BGF
기타금융,0,0,0,0,0,0,20240214,027410,BGF
연기금 등,0,0,0,0,0,0,20240214,027410,BGF
기관합계,28033,24933,-3100,114010540,102216450,-11794090,20240214,027410,BGF
기타법인,0,180,180,0,726400,726400,20240214,027410,BGF
개인,148568,187038,38470,604294480,761234480,156940000,20240214,027410,BGF
외국인,63321,27755,-35566,258980900,113044640,-145936260,20240214,027410,BGF
기타외국인,34,50,16,138550,202500,63950,20240214,027410,BGF
전체,239956,239956,0,977424470,977424470,0,20240214,027410,BGF
금융투자,275482,29495,-245987,2128913560,229634240,-1899279320,20240214,138930,BNK금융지주
보험,6887,989,-5898,53016330,7663380,-45352950,20240214,138930,BNK금융지주
투신,43424,19217,-24207,334116600,147816080,-186300520,20240214,138930,BNK금융지주
사모,33984,50506,16522,262806180,389024140,126217960,20240214,138930,BNK금융지주
은행,0,0,0,0,0,0,20240214,138930,BNK금융지주
기타금융,1,0,-1,7730,0,-7730,20240214,138930,BNK금융지주
연기금 등,33613,3636,-29977,258623050,28166880,-230456170,20240214,138930,BNK금융지주
