투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,0,0,0,0,0,0,20240117,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240117,098120,마이크로컨텍솔
투신,0,1346,1346,0,16196960,16196960,20240117,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240117,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240117,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240117,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240117,098120,마이크로컨텍솔
기관합계,0,1346,1346,0,16196960,16196960,20240117,098120,마이크로컨텍솔
기타법인,0,0,0,0,0,0,20240117,098120,마이크로컨텍솔
개인,79119,89534,10415,950163790,1074043200,123879410,20240117,098120,마이크로컨텍솔
외국인,43968,30780,-13188,527623230,370316030,-157307200,20240117,098120,마이크로컨텍솔
기타외국인,3,1430,1427,35670,17266500,17230830,20240117,098120,마이크로컨텍솔
전체,123090,123090,0,1477822690,1477822690,0,20240117,098120,마이크로컨텍솔
금융투자,1974,7424,5450,51727200,195600900,143873700,20240117,009520,포스코엠텍
보험,0,0,0,0,0,0,20240117,009520,포스코엠텍
투신,0,0,0,0,0,0,20240117,009520,포스코엠텍
사모,0,2,2,0,53100,53100,20240117,009520,포스코엠텍
은행,0,0,0,0,0,0,20240117,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240117,009520,포스코엠텍
연기금 등,15452,5349,-10103,405261750,140351200,-264910550,20240117,009520,포스코엠텍
기관합계,17426,12775,-4651,456988950,336005200,-120983750,20240117,009520,포스코엠텍
기타법인,665,2317,1652,17489150,61232600,43743450,20240117,009520,포스코엠텍
개인,540281,445676,-94605,14232577150,11747942350,-2484634800,20240117,009520,포스코엠텍
외국인,70178,166912,96734,1864476600,4403945550,2539468950,20240117,009520,포스코엠텍
기타외국인,2228,3098,870,59089400,81495550,22406150,20240117,009520,포스코엠텍
전체,630778,630778,0,16630621250,16630621250,0,20240117,009520,포스코엠텍
금융투자,28995,27844,-1151,135375720,129965310,-5410410,20240117,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240117,095570,AJ네트웍스
투신,0,14234,14234,0,66579455,66579455,20240117,095570,AJ네트웍스
사모,0,95,95,0,442685,442685,20240117,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240117,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240117,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240117,095570,AJ네트웍스
기관합계,28995,42173,13178,135375720,196987450,61611730,20240117,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240117,095570,AJ네트웍스
개인,201574,47773,-153801,937650440,223259435,-714391005,20240117,095570,AJ네트웍스
외국인,30138,160806,130668,141221110,747361435,606140325,20240117,095570,AJ네트웍스
기타외국인,80,10035,9955,375200,47014150,46638950,20240117,095570,AJ네트웍스
전체,260787,260787,0,1214622470,1214622470,0,20240117,095570,AJ네트웍스
금융투자,1906,1887,-19,30743790,30509490,-234300,20240117,006840,AK홀딩스
보험,0,0,0,0,0,0,20240117,006840,AK홀딩스
투신,0,2,2,0,32390,32390,20240117,006840,AK홀딩스
사모,0,27,27,0,436080,436080,20240117,006840,AK홀딩스
은행,0,0,0,0,0,0,20240117,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240117,006840,AK홀딩스
연기금 등,877,0,-877,14155580,0,-14155580,20240117,006840,AK홀딩스
기관합계,2783,1916,-867,44899370,30977960,-13921410,20240117,006840,AK홀딩스
기타법인,0,253,253,0,4071100,4071100,20240117,006840,AK홀딩스
개인,8304,8748,444,133868990,140986830,7117840,20240117,006840,AK홀딩스
외국인,135,305,170,2181080,4913550,2732470,20240117,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240117,006840,AK홀딩스
전체,11222,11222,0,180949440,180949440,0,20240117,006840,AK홀딩스
금융투자,2281,5212,2931,323596500,738723300,415126800,20240117,282330,BGF리테일
보험,0,1715,1715,0,242135600,242135600,20240117,282330,BGF리테일
투신,7479,7154,-325,1056381000,1013770000,-42611000,20240117,282330,BGF리테일
사모,0,484,484,0,68814200,68814200,20240117,282330,BGF리테일
은행,0,0,0,0,0,0,20240117,282330,BGF리테일
기타금융,2,5,3,285700,710500,424800,20240117,282330,BGF리테일
연기금 등,313,7256,6943,44420100,1022030400,977610300,20240117,282330,BGF리테일
