투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
기관합계,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
기타법인,0,0,0,0,0,0,20240123,098120,마이크로컨텍솔
개인,71464,78984,7520,883770620,980141260,96370640,20240123,098120,마이크로컨텍솔
외국인,29387,21888,-7499,366869770,270758930,-96110840,20240123,098120,마이크로컨텍솔
기타외국인,21,0,-21,259800,0,-259800,20240123,098120,마이크로컨텍솔
전체,100872,100872,0,1250900190,1250900190,0,20240123,098120,마이크로컨텍솔
금융투자,3985,7604,3619,95928000,184986650,89058650,20240123,009520,포스코엠텍
보험,0,0,0,0,0,0,20240123,009520,포스코엠텍
투신,684,468,-216,16381800,11335150,-5046650,20240123,009520,포스코엠텍
사모,0,456,456,0,11034150,11034150,20240123,009520,포스코엠텍
은행,0,0,0,0,0,0,20240123,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240123,009520,포스코엠텍
연기금 등,0,0,0,0,0,0,20240123,009520,포스코엠텍
기관합계,4669,8528,3859,112309800,207355950,95046150,20240123,009520,포스코엠텍
기타법인,18036,19186,1150,432735450,461006300,28270850,20240123,009520,포스코엠텍
개인,508331,513394,5063,12292073900,12439380100,147306200,20240123,009520,포스코엠텍
외국인,130716,120822,-9894,3176154950,2909891050,-266263900,20240123,009520,포스코엠텍
기타외국인,663,485,-178,16104300,11745000,-4359300,20240123,009520,포스코엠텍
전체,662415,662415,0,16029378400,16029378400,0,20240123,009520,포스코엠텍
금융투자,28824,39761,10937,135870000,187532895,51662895,20240123,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240123,095570,AJ네트웍스
투신,0,1088,1088,0,5103670,5103670,20240123,095570,AJ네트웍스
사모,0,37012,37012,0,174804160,174804160,20240123,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240123,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240123,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240123,095570,AJ네트웍스
