투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,12550,12320,-230,20240119,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240119,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240119,098120,마이크로컨텍솔
사모,91,0,-91,1142950,0,-1142950,20240119,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240119,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240119,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240119,098120,마이크로컨텍솔
기관합계,92,1,-91,1155500,12320,-1143180,20240119,098120,마이크로컨텍솔
기타법인,0,600,600,0,7400500,7400500,20240119,098120,마이크로컨텍솔
개인,157543,195872,38329,1944208840,2415008130,470799290,20240119,098120,마이크로컨텍솔
외국인,76283,37325,-38958,941745590,463218980,-478526610,20240119,098120,마이크로컨텍솔
기타외국인,0,120,120,0,1470000,1470000,20240119,098120,마이크로컨텍솔
전체,233918,233918,0,2887109930,2887109930,0,20240119,098120,마이크로컨텍솔
금융투자,2445,23814,21369,61764000,612625100,550861100,20240119,009520,포스코엠텍
보험,0,0,0,0,0,0,20240119,009520,포스코엠텍
투신,0,0,0,0,0,0,20240119,009520,포스코엠텍
사모,0,0,0,0,0,0,20240119,009520,포스코엠텍
은행,0,0,0,0,0,0,20240119,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240119,009520,포스코엠텍
연기금 등,4708,0,-4708,118613900,0,-118613900,20240119,009520,포스코엠텍
기관합계,7153,23814,16661,180377900,612625100,432247200,20240119,009520,포스코엠텍
기타법인,53701,3225,-50476,1355319850,81840450,-1273479400,20240119,009520,포스코엠텍
개인,438555,472762,34207,11183409600,12053516750,870107150,20240119,009520,포스코엠텍
외국인,136381,135886,-495,3493100950,3461769200,-31331750,20240119,009520,포스코엠텍
기타외국인,479,582,103,12350500,14807300,2456800,20240119,009520,포스코엠텍
전체,636269,636269,0,16224558800,16224558800,0,20240119,009520,포스코엠텍
금융투자,37774,37413,-361,174691810,173131920,-1559890,20240119,095570,AJ네트웍스
보험,7,0,-7,32385,0,-32385,20240119,095570,AJ네트웍스
투신,7200,50285,43085,33267700,232751640,199483940,20240119,095570,AJ네트웍스
사모,1,3351,3350,4635,15487890,15483255,20240119,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240119,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240119,095570,AJ네트웍스
연기금 등,9198,0,-9198,42459640,0,-42459640,20240119,095570,AJ네트웍스
기관합계,54180,91049,36869,250456170,421371450,170915280,20240119,095570,AJ네트웍스
기타법인,20988,0,-20988,95933415,0,-95933415,20240119,095570,AJ네트웍스
개인,128374,124031,-4343,593149795,571996170,-21153625,20240119,095570,AJ네트웍스
외국인,116133,84585,-31548,536202405,390328015,-145874390,20240119,095570,AJ네트웍스
기타외국인,0,20010,20010,0,92046150,92046150,20240119,095570,AJ네트웍스
전체,319675,319675,0,1475741785,1475741785,0,20240119,095570,AJ네트웍스
금융투자,834,0,-834,13707550,0,-13707550,20240119,006840,AK홀딩스
보험,0,0,0,0,0,0,20240119,006840,AK홀딩스
투신,0,0,0,0,0,0,20240119,006840,AK홀딩스
사모,0,0,0,0,0,0,20240119,006840,AK홀딩스
은행,0,0,0,0,0,0,20240119,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240119,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240119,006840,AK홀딩스
기관합계,834,0,-834,13707550,0,-13707550,20240119,006840,AK홀딩스
기타법인,13,33,20,212910,539220,326310,20240119,006840,AK홀딩스
개인,1771,2953,1182,29170040,48604680,19434640,20240119,006840,AK홀딩스
외국인,368,0,-368,6053400,0,-6053400,20240119,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240119,006840,AK홀딩스
전체,2986,2986,0,49143900,49143900,0,20240119,006840,AK홀딩스
금융투자,2558,645,-1913,369665600,92662300,-277003300,20240119,282330,BGF리테일
보험,12,671,659,1728700,96779700,95051000,20240119,282330,BGF리테일
투신,3909,9339,5430,561420700,1345792200,784371500,20240119,282330,BGF리테일
사모,849,216,-633,121929700,31442500,-90487200,20240119,282330,BGF리테일
은행,0,0,0,0,0,0,20240119,282330,BGF리테일
기타금융,1,51,50,142900,7353600,7210700,20240119,282330,BGF리테일
연기금 등,5753,7055,1302,827366100,1018181200,190815100,20240119,282330,BGF리테일
기관합계,13082,17977,4895,1882253700,2592211500,709957800,20240119,282330,BGF리테일
기타법인,223,12,-211,32036900,1720500,-30316400,20240119,282330,BGF리테일
개인,20725,4539,-16186,2987978600,652432800,-2335545800,20240119,282330,BGF리테일
외국인,28355,40002,11647,4093049600,5769850100,1676800500,20240119,282330,BGF리테일
기타외국인,146,1,-145,21037800,141700,-20896100,20240119,282330,BGF리테일
전체,62531,62531,0,9016356600,9016356600,0,20240119,282330,BGF리테일
금융투자,1611,1572,-39,5783090,5643490,-139600,20240119,027410,BGF
보험,21,0,-21,74950,0,-74950,20240119,027410,BGF
투신,0,54,54,0,194600,194600,20240119,027410,BGF
사모,2,0,-2,7150,0,-7150,20240119,027410,BGF
은행,0,0,0,0,0,0,20240119,027410,BGF
기타금융,0,0,0,0,0,0,20240119,027410,BGF
연기금 등,0,0,0,0,0,0,20240119,027410,BGF
기관합계,1634,1626,-8,5865190,5838090,-27100,20240119,027410,BGF
기타법인,0,0,0,0,0,0,20240119,027410,BGF
개인,35031,42078,7047,125888600,151045500,25156900,20240119,027410,BGF
외국인,20292,13253,-7039,72833655,47703855,-25129800,20240119,027410,BGF
기타외국인,0,0,0,0,0,0,20240119,027410,BGF
전체,56957,56957,0,204587445,204587445,0,20240119,027410,BGF
금융투자,56284,68070,11786,392329670,474532020,82202350,20240119,138930,BNK금융지주
보험,1089,0,-1089,7591520,0,-7591520,20240119,138930,BNK금융지주
투신,8204,4133,-4071,57166250,28924760,-28241490,20240119,138930,BNK금융지주
