투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,0,0,0,0,0,0,20240104,098120,마이크로컨텍솔
보험,0,953,953,0,13345820,13345820,20240104,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240104,098120,마이크로컨텍솔
사모,0,8306,8306,0,116747510,116747510,20240104,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240104,098120,마이크로컨텍솔
기타금융,0,4000,4000,0,57700000,57700000,20240104,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240104,098120,마이크로컨텍솔
기관합계,0,13259,13259,0,187793330,187793330,20240104,098120,마이크로컨텍솔
기타법인,13,625,612,183180,9037270,8854090,20240104,098120,마이크로컨텍솔
개인,119818,146837,27019,1697741760,2076560550,378818790,20240104,098120,마이크로컨텍솔
외국인,68663,30773,-37890,970028720,436605390,-533423330,20240104,098120,마이크로컨텍솔
기타외국인,3082,82,-3000,43210540,1167660,-42042880,20240104,098120,마이크로컨텍솔
전체,191576,191576,0,2711164200,2711164200,0,20240104,098120,마이크로컨텍솔
금융투자,13302,1249,-12053,385464050,36081350,-349382700,20240104,009520,포스코엠텍
보험,0,0,0,0,0,0,20240104,009520,포스코엠텍
투신,0,0,0,0,0,0,20240104,009520,포스코엠텍
사모,45,0,-45,1310800,0,-1310800,20240104,009520,포스코엠텍
은행,0,0,0,0,0,0,20240104,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240104,009520,포스코엠텍
연기금 등,0,12748,12748,0,367940900,367940900,20240104,009520,포스코엠텍
기관합계,13347,13997,650,386774850,404022250,17247400,20240104,009520,포스코엠텍
기타법인,6591,7861,1270,192127950,226532250,34404300,20240104,009520,포스코엠텍
개인,1742767,1710575,-32192,50656407800,49730960550,-925447250,20240104,009520,포스코엠텍
외국인,295534,324357,28823,8545246550,9377102950,831856400,20240104,009520,포스코엠텍
기타외국인,1803,3252,1449,52493150,94432300,41939150,20240104,009520,포스코엠텍
전체,2060042,2060042,0,59833050300,59833050300,0,20240104,009520,포스코엠텍
금융투자,29486,29206,-280,153493950,151718050,-1775900,20240104,095570,AJ네트웍스
보험,0,717,717,0,3749640,3749640,20240104,095570,AJ네트웍스
투신,0,57842,57842,0,302705180,302705180,20240104,095570,AJ네트웍스
사모,975,12500,11525,5100960,65451800,60350840,20240104,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240104,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240104,095570,AJ네트웍스
연기금 등,2664,71,-2593,13951200,369840,-13581360,20240104,095570,AJ네트웍스
기관합계,33125,100336,67211,172546110,523994510,351448400,20240104,095570,AJ네트웍스
기타법인,0,0,0,0,0,0,20240104,095570,AJ네트웍스
개인,156027,95814,-60213,813709030,499374750,-314334280,20240104,095570,AJ네트웍스
외국인,30290,23357,-6933,158220760,121446550,-36774210,20240104,095570,AJ네트웍스
기타외국인,66,1,-65,345180,5270,-339910,20240104,095570,AJ네트웍스
전체,219508,219508,0,1144821080,1144821080,0,20240104,095570,AJ네트웍스
금융투자,869,425,-444,14776100,7207580,-7568520,20240104,006840,AK홀딩스
보험,0,0,0,0,0,0,20240104,006840,AK홀딩스
투신,0,1,1,0,16980,16980,20240104,006840,AK홀딩스
사모,49,0,-49,833310,0,-833310,20240104,006840,AK홀딩스
은행,0,0,0,0,0,0,20240104,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240104,006840,AK홀딩스
연기금 등,0,20,20,0,339980,339980,20240104,006840,AK홀딩스
기관합계,918,446,-472,15609410,7564540,-8044870,20240104,006840,AK홀딩스
기타법인,0,4,4,0,67970,67970,20240104,006840,AK홀딩스
개인,3953,3772,-181,67178040,64111030,-3067010,20240104,006840,AK홀딩스
외국인,383,1032,649,6508110,17552020,11043910,20240104,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240104,006840,AK홀딩스
전체,5254,5254,0,89295560,89295560,0,20240104,006840,AK홀딩스
금융투자,6155,1400,-4755,834825200,189715600,-645109600,20240104,282330,BGF리테일
보험,64,1068,1004,8658900,144542400,135883500,20240104,282330,BGF리테일
투신,1293,4971,3678,174849200,674141900,499292700,20240104,282330,BGF리테일
