투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,15,1,-14,212010,13930,-198080,20240103,098120,마이크로컨텍솔
보험,0,3143,3143,0,44109480,44109480,20240103,098120,마이크로컨텍솔
투신,0,13100,13100,0,188251780,188251780,20240103,098120,마이크로컨텍솔
사모,0,13100,13100,0,188299440,188299440,20240103,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240103,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240103,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240103,098120,마이크로컨텍솔
기관합계,15,29344,29329,212010,420674630,420462620,20240103,098120,마이크로컨텍솔
기타법인,1987,1620,-367,28190730,23114110,-5076620,20240103,098120,마이크로컨텍솔
개인,237843,297308,59465,3365817630,4191727840,825910210,20240103,098120,마이크로컨텍솔
외국인,138537,54265,-84272,1953401700,770021180,-1183380520,20240103,098120,마이크로컨텍솔
기타외국인,5210,1055,-4155,72820880,14905190,-57915690,20240103,098120,마이크로컨텍솔
전체,383592,383592,0,5420442950,5420442950,0,20240103,098120,마이크로컨텍솔
금융투자,60683,23636,-37047,1905914850,728199050,-1177715800,20240103,009520,포스코엠텍
보험,77,0,-77,2421700,0,-2421700,20240103,009520,포스코엠텍
투신,2081,2081,0,66469800,65330700,-1139100,20240103,009520,포스코엠텍
사모,185,0,-185,5743250,0,-5743250,20240103,009520,포스코엠텍
은행,0,0,0,0,0,0,20240103,009520,포스코엠텍
기타금융,17,0,-17,549000,0,-549000,20240103,009520,포스코엠텍
연기금 등,6,1339,1333,193800,41469950,41276150,20240103,009520,포스코엠텍
기관합계,63049,27056,-35993,1981292400,834999700,-1146292700,20240103,009520,포스코엠텍
기타법인,69181,74512,5331,2199009800,2343004000,143994200,20240103,009520,포스코엠텍
개인,12197718,12630804,433086,383598856000,397405220150,13806364150,20240103,009520,포스코엠텍
외국인,1727079,1301649,-425430,53993251250,40464500600,-13528750650,20240103,009520,포스코엠텍
기타외국인,31576,54582,23006,997697250,1722382250,724685000,20240103,009520,포스코엠텍
전체,14088603,14088603,0,442770106700,442770106700,0,20240103,009520,포스코엠텍
금융투자,42767,43763,996,221633920,226660950,5027030,20240103,095570,AJ네트웍스
보험,194,0,-194,1009640,0,-1009640,20240103,095570,AJ네트웍스
투신,4035,83810,79775,20921440,437046770,416125330,20240103,095570,AJ네트웍스
사모,226,0,-226,1170650,0,-1170650,20240103,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240103,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240103,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240103,095570,AJ네트웍스
기관합계,47222,127573,80351,244735650,663707720,418972070,20240103,095570,AJ네트웍스
기타법인,506,2875,2369,2671380,15131050,12459670,20240103,095570,AJ네트웍스
개인,305732,226951,-78781,1589588500,1183321540,-406266960,20240103,095570,AJ네트웍스
외국인,73728,70046,-3682,385639370,361801780,-23837590,20240103,095570,AJ네트웍스
기타외국인,336,79,-257,1741340,414150,-1327190,20240103,095570,AJ네트웍스
전체,427524,427524,0,2224376240,2224376240,0,20240103,095570,AJ네트웍스
금융투자,127,16,-111,2159470,272340,-1887130,20240103,006840,AK홀딩스
보험,0,0,0,0,0,0,20240103,006840,AK홀딩스
투신,9,0,-9,153000,0,-153000,20240103,006840,AK홀딩스
사모,40,0,-40,679870,0,-679870,20240103,006840,AK홀딩스
은행,0,0,0,0,0,0,20240103,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240103,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240103,006840,AK홀딩스
기관합계,176,16,-160,2992340,272340,-2720000,20240103,006840,AK홀딩스
기타법인,1,0,-1,16990,0,-16990,20240103,006840,AK홀딩스
개인,477,720,243,8113580,12244660,4131080,20240103,006840,AK홀딩스
외국인,82,0,-82,1394090,0,-1394090,20240103,006840,AK홀딩스
기타외국인,0,0,0,0,0,0,20240103,006840,AK홀딩스
전체,736,736,0,12517000,12517000,0,20240103,006840,AK홀딩스
금융투자,8366,811,-7555,1138908900,110119800,-1028789100,20240103,282330,BGF리테일
보험,420,460,40,57296000,62735700,5439700,20240103,282330,BGF리테일
투신,473,17483,17010,64793500,2391788500,2326995000,20240103,282330,BGF리테일
사모,1295,5740,4445,176834500,786855500,610021000,20240103,282330,BGF리테일
은행,0,374,374,0,51003600,51003600,20240103,282330,BGF리테일
기타금융,1,1,0,136100,136100,0,20240103,282330,BGF리테일
연기금 등,240,5474,5234,32718500,748788400,716069900,20240103,282330,BGF리테일
기관합계,10795,30343,19548,1470687500,4151427600,2680740100,20240103,282330,BGF리테일
기타법인,11,131,120,1502100,17728400,16226300,20240103,282330,BGF리테일
개인,47953,19138,-28815,6540512500,2600674800,-3939837700,20240103,282330,BGF리테일
외국인,34932,43986,9054,4766190800,5996499500,1230308700,20240103,282330,BGF리테일
기타외국인,251,344,93,34490300,47052900,12562600,20240103,282330,BGF리테일
전체,93942,93942,0,12813383200,12813383200,0,20240103,282330,BGF리테일
