투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,0,1,1,0,11400,11400,20240213,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240213,098120,마이크로컨텍솔
투신,0,0,0,0,0,0,20240213,098120,마이크로컨텍솔
사모,0,0,0,0,0,0,20240213,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240213,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240213,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240213,098120,마이크로컨텍솔
기관합계,0,1,1,0,11400,11400,20240213,098120,마이크로컨텍솔
기타법인,0,13730,13730,0,159848560,159848560,20240213,098120,마이크로컨텍솔
개인,132884,153237,20353,1522016750,1758697020,236680270,20240213,098120,마이크로컨텍솔
외국인,77798,43714,-34084,894627200,498086970,-396540230,20240213,098120,마이크로컨텍솔
기타외국인,0,0,0,0,0,0,20240213,098120,마이크로컨텍솔
전체,210682,210682,0,2416643950,2416643950,0,20240213,098120,마이크로컨텍솔
금융투자,16019,1035,-14984,392495750,25278250,-367217500,20240213,009520,포스코엠텍
보험,0,0,0,0,0,0,20240213,009520,포스코엠텍
투신,0,0,0,0,0,0,20240213,009520,포스코엠텍
사모,47,0,-47,1156200,0,-1156200,20240213,009520,포스코엠텍
은행,0,0,0,0,0,0,20240213,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240213,009520,포스코엠텍
연기금 등,96,96,0,2359200,2354400,-4800,20240213,009520,포스코엠텍
기관합계,16162,1131,-15031,396011150,27632650,-368378500,20240213,009520,포스코엠텍
기타법인,11989,1110,-10879,293955500,27065500,-266890000,20240213,009520,포스코엠텍
개인,328393,245229,-83164,8035108500,6000412650,-2034695850,20240213,009520,포스코엠텍
외국인,50978,159573,108595,1245789250,3904065900,2658276650,20240213,009520,포스코엠텍
기타외국인,176,655,479,4317500,16005200,11687700,20240213,009520,포스코엠텍
전체,407698,407698,0,9975181900,9975181900,0,20240213,009520,포스코엠텍
금융투자,13663,11137,-2526,66075505,53721900,-12353605,20240213,095570,AJ네트웍스
보험,0,1376,1376,0,6707490,6707490,20240213,095570,AJ네트웍스
투신,32783,10322,-22461,158430590,49911935,-108518655,20240213,095570,AJ네트웍스
사모,31,702,671,149585,3392795,3243210,20240213,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240213,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240213,095570,AJ네트웍스
연기금 등,0,0,0,0,0,0,20240213,095570,AJ네트웍스
기관합계,46477,23537,-22940,224655680,113734120,-110921560,20240213,095570,AJ네트웍스
기타법인,0,3000,3000,0,14495000,14495000,20240213,095570,AJ네트웍스
개인,64558,98273,33715,311936000,475603085,163667085,20240213,095570,AJ네트웍스
외국인,27376,13696,-13680,132830155,66049570,-66780585,20240213,095570,AJ네트웍스
기타외국인,100,5,-95,484165,24225,-459940,20240213,095570,AJ네트웍스
전체,138511,138511,0,669906000,669906000,0,20240213,095570,AJ네트웍스
금융투자,4976,4808,-168,85759000,84509030,-1249970,20240213,006840,AK홀딩스
보험,0,0,0,0,0,0,20240213,006840,AK홀딩스
투신,18,0,-18,313020,0,-313020,20240213,006840,AK홀딩스
사모,9,0,-9,153900,0,-153900,20240213,006840,AK홀딩스
은행,0,0,0,0,0,0,20240213,006840,AK홀딩스
기타금융,0,0,0,0,0,0,20240213,006840,AK홀딩스
연기금 등,0,0,0,0,0,0,20240213,006840,AK홀딩스
